"Species","trait_name","value"
"Adenanthos pungens subsp effusus","Light","Sunny, Light shade"
"Adenanthos pungens subsp effusus","Growth Habit","Evergreen, Dense foliage, Spreading"
"Adenanthos pungens subsp effusus","Lifespan","Perennial"
"Adenanthos pungens subsp effusus","Soil Moisture","Well-drained"
"Adenanthos pungens subsp effusus","Frost Tolerance","Tolerates heavy frost, Tolerates light frost"
"Adenanthos pungens subsp effusus","Plant Usage","Groundcover, Border plant"
"Adenanthos pungens subsp effusus","Special Uses","Erosion control, Pollution tolerant, Playground friendly"
"Adenanthos pungens subsp effusus","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects, Mammals, Lizards"
"Adenanthos pungens subsp effusus","description","A low growing form of Adenanthos, Coral Cover is a densely ground covering plant with pale to bright pink flowers on the ends of the branches. It is attractive to birds and insects, and the needle-like nature of the leaves gives some shelter to wildlife. Likes a full sun to part shade spot, and suits most soil types as long as they are well drained. A low maintenance plant once established, it is frost tolerant and good for coastal areas. Mulch to deter weed growth while young, and to conserve soil moisture. Feed with a good low phosphorus native fertiliser in spring."
"Adenanthos sericeus","Scientific Name","Adenanthos sericeus"
"Adenanthos sericeus","Family","Proteaceae"
"Adenanthos sericeus","Common Name","Woolly Bush"
"Adenanthos sericeus","Plant Type","Small shrub, Large shrub"
"Adenanthos sericeus","Height","1.5 ~ 3 metres"
"Adenanthos sericeus","Width","1 ~ 3 metre"
"Adenanthos sericeus","Flower Colour","Red"
"Adenanthos sericeus","Flowering Time","Spring, Summer, Autumn"
"Adenanthos sericeus","Ph Level","Acid, Neutral, Alkaline"
"Adenanthos sericeus","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Saline"
"Adenanthos sericeus","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden, Drought resistant"
"Adenanthos sericeus","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Adenanthos sericeus","Light","Sunny, Light shade"
"Adenanthos sericeus","Growth Habit","Evergreen, Dense foliage"
"Adenanthos sericeus","Lifespan","Perennial"
"Adenanthos sericeus","Soil Moisture","Well-drained"
"Adenanthos sericeus","Frost Tolerance","Tolerates light frost"
"Adenanthos sericeus","Plant Usage","Hedge, Topiary, Feature plant, Screen, Windbreak, Attractive foliage"
"Adenanthos sericeus","Special Uses","Cut flower, Bonsai, Playground friendly"
"Adenanthos sericeus","Attracts Wildlife","Nectar eating birds"
"Adenanthos sericeus","description","Adenanthos ‘Silver Streak’ is an upright plant to 3 metres tall and wide, with silky, silvery foliage. The flowers are red and bird attracting, but insignificant, and it is the colour and texture of the foliage that is the feature. It can be used in cut flower arrangements, and a potted plant makes a lovely Australian native Christmas tree. A good plant for coastal sites, as it withstands salt winds. A useful screen plant as it is a tall and upright form of woolly bush. Pruning the tips of the plant will help it to flourish in spring and summer and will give it an attractive shape. Feed in spring with low phosphorus fertiliser. Likes well drained soil, and is drought and frost tolerant once established."
"Adenanthos cuneatus","Scientific Name","Adenanthos cuneatus"
"Adenanthos cuneatus","Family","Proteaceae"
"Adenanthos cuneatus","Common Name","Jugflower"
"Adenanthos cuneatus","Plant Type","Small shrub, Ground cover"
"Adenanthos cuneatus","Height","0.1 ~ 0.3 metres"
"Adenanthos cuneatus","Width","0.75 ~ 1 metre"
"Adenanthos cuneatus","Flower Colour","Red"
"Adenanthos cuneatus","Flowering Time","Spring, Summer"
"Adenanthos cuneatus","Ph Level","Acid, Neutral, Alkaline"
"Adenanthos cuneatus","Soil Type","Sandy, Sandy loam, Clay loam, Poor soil"
"Adenanthos cuneatus","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Drought resistant"
"Adenanthos cuneatus","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Adenanthos cuneatus","Light","Sunny, Light shade"
"Adenanthos cuneatus","Growth Habit","Evergreen, Spreading, Weeping"
"Adenanthos cuneatus","Lifespan","Perennial"
"Adenanthos cuneatus","Soil Moisture","Well-drained"
"Adenanthos cuneatus","Frost Tolerance","Tolerates light frost"
"Adenanthos cuneatus","Plant Usage","Groundcover, Border plant, Attractive foliage"
"Adenanthos cuneatus","Special Uses","Erosion control, Playground friendly"
"Adenanthos cuneatus","Attracts Wildlife","Nectar eating birds, Butterflies"
"Adenanthos cuneatus","description","The totally prostrate habit combined with the texture and colour of the foliage are the outstanding features of this fantastic Western Australian plant. It is best used as a ground cover to spill over embankments or rockeries. It also makes a fabulous weeping standard grafted plant. Whilst the small red flowers are not a feature, they do attract various nectar feeding birds such as honey eaters and spinebills which are always a welcome addition to a garden. The bronze tinge to the new foliage is absolutely gorgeous. It is reasonably maintenance free with just the occasional trim to remove any dead or dying growth being the major requirement. It does need a well drained soil and a sunny position for best performance."
"Adenanthos sericeus","Scientific Name","Adenanthos sericeus"
"Adenanthos sericeus","Family","Proteaceae"
"Adenanthos sericeus","Common Name","Woolly Bush"
"Adenanthos sericeus","Plant Type","Small shrub"
"Adenanthos sericeus","Height","1 ~ 5 metre"
"Adenanthos sericeus","Width","1 ~ 1.5 metre"
"Adenanthos sericeus","Flower Colour","Pink"
"Adenanthos sericeus","Flowering Time","Spring, Summer"
"Adenanthos sericeus","Ph Level","Acid, Neutral, Alkaline"
"Adenanthos sericeus","Soil Type","Sandy, Loamy, Sandy loam, Potting mix"
"Adenanthos sericeus","Plant Environment","Low maintenance garden, Courtyard, Container growing, Flower garden, Coastal garden, Drought resistant"
"Adenanthos sericeus","Climate Zone","Cool temperate, Mediterranean"
"Adenanthos sericeus","Light","Sunny, Light shade"
"Adenanthos sericeus","Growth Habit","Evergreen, Dense foliage"
"Adenanthos sericeus","Lifespan","Perennial"
"Adenanthos sericeus","Soil Moisture","Dry, Well-drained, Moist moderate drainage"
"Adenanthos sericeus","Propagation Method","Seed, Softwood cutting, Semihardwood cutting, Layering"
"Adenanthos sericeus","Frost Tolerance","Tolerates light frost"
"Adenanthos sericeus","Plant Usage","Hedge, Feature plant, Screen, Windbreak, Attractive foliage"
"Adenanthos sericeus","Special Uses","Cut flower, Erosion control, Fast growing, Playground friendly"
"Adenanthos sericeus","Attracts Wildlife","Nectar eating birds"
"Adenanthos sericeus","description","The wonderful soft, velvet-like texture and the silver coloured foliage are the outstanding features of this species. From the south coast of Western Australia, this plant is best suited to areas of southern Australia that have a Mediterranean climate (ie dry summers) rather than the more humid climates of places like Sydney and Brisbane. It grows into a large shrub and so makes a great feature plant and is sometimes used as a Christmas tree if grown in a large container. It has a compact habit."
"Adenanthos sericeus","Scientific Name","Adenanthos sericeus"
"Adenanthos sericeus","Family","Proteaceae"
"Adenanthos sericeus","Common Name","Woolly Bush"
"Adenanthos sericeus","Plant Type","Small shrub"
"Adenanthos sericeus","Height","0.3 ~ 1 metre"
"Adenanthos sericeus","Width","0.5 ~ 1 metre"
"Adenanthos sericeus","Flower Colour","Red"
"Adenanthos sericeus","Flowering Time","Spring"
"Adenanthos sericeus","Ph Level","Acid, Neutral, Alkaline"
"Adenanthos sericeus","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix"
"Adenanthos sericeus","Plant Environment","Low maintenance garden, Poolside, Container growing, Flower garden, Coastal garden, Drought resistant"
"Adenanthos sericeus","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Adenanthos sericeus","Growth Habit","Evergreen, Dense foliage, Spreading, Mound-shaped"
"Adenanthos sericeus","Lifespan","Perennial"
"Adenanthos sericeus","Soil Moisture","Well-drained"
"Adenanthos sericeus","Frost Tolerance","Tolerates light frost"
"Adenanthos sericeus","Plant Usage","Feature plant, Border plant, Attractive foliage"
"Adenanthos sericeus","Special Uses","Cut flower, Erosion control, Playground friendly"
"Adenanthos sericeus","Attracts Wildlife","Bees, Nectar eating birds, Butterflies"
"Adenanthos sericeus","description","The low, mounding habit of ‘Silver Wave’ combines with its striking silvery foliage which has a lovely soft, velvet-like texture. Use this plant as a feature ground cover for areas that have good drainage and get plenty of sunshine. It performs particularly well in coastal areas and can cope with windy conditions. Once established it is virtually maintenance free."
"Adenanthos cuneatus","Scientific Name","Adenanthos cuneatus"
"Adenanthos cuneatus","Family","Proteaceae"
"Adenanthos cuneatus","Common Name","Jug Flower"
"Adenanthos cuneatus","Plant Type","Ground cover"
"Adenanthos cuneatus","Height","0.2 ~ 0.3 metres"
"Adenanthos cuneatus","Width","1.5 ~ 2 metres"
"Adenanthos cuneatus","Flower Colour","Red"
"Adenanthos cuneatus","Flowering Time","All year"
"Adenanthos cuneatus","Ph Level","Acid, Neutral, Alkaline"
"Adenanthos cuneatus","Soil Type","Sandy, Loamy, Sandy loam"
"Adenanthos cuneatus","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden, Drought resistant"
"Adenanthos cuneatus","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Adenanthos cuneatus","Light","Sunny, Light shade"
"Adenanthos cuneatus","Growth Habit","Evergreen, Dense foliage, Spreading"
"Adenanthos cuneatus","Lifespan","Perennial"
"Adenanthos cuneatus","Soil Moisture","Well-drained"
"Adenanthos cuneatus","Frost Tolerance","Tolerates light frost"
"Adenanthos cuneatus","Plant Usage","Groundcover, Feature plant, Attractive foliage"
"Adenanthos cuneatus","Special Uses","Erosion control, Fast growing, Playground friendly"
"Adenanthos cuneatus","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Adenanthos cuneatus","description","This delightful ground cover features beautifully textured colourful foliage that provides a year round highlight in the garden. Best in coastal areas of Western Australia but also grows well in well drained soils in other parts of southern Australia. It small red flowers are not prominent but they are produced all year round and attract small honey eating birds. Grow in full sun to get the best colour in the new foliage growth."
"Adenanthos x cunninghamii","Scientific Name","Adenanthos x cunninghamii"
"Adenanthos x cunninghamii","Family","Proteaceae"
"Adenanthos x cunninghamii","Common Name","Woollybush"
"Adenanthos x cunninghamii","Other Common Names","Albany woollybush"
"Adenanthos x cunninghamii","Plant Type","Large shrub"
"Adenanthos x cunninghamii","Height","1 ~ 1.5 metre"
"Adenanthos x cunninghamii","Width","1 ~ 2 metre"
"Adenanthos x cunninghamii","Flower Colour","Red, Pink"
"Adenanthos x cunninghamii","Flowering Time","Spring"
"Adenanthos x cunninghamii","Ph Level","Acid, Neutral, Alkaline"
"Adenanthos x cunninghamii","Soil Type","Sandy, Loamy, Sandy loam, Poor soil"
"Adenanthos x cunninghamii","Plant Environment","Low maintenance garden, Poolside, Coastal garden, Drought resistant"
"Adenanthos x cunninghamii","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Adenanthos x cunninghamii","Light","Sunny, Light shade"
"Adenanthos x cunninghamii","Growth Habit","Evergreen, Spreading"
"Adenanthos x cunninghamii","Lifespan","Perennial"
"Adenanthos x cunninghamii","Soil Moisture","Dry, Well-drained"
"Adenanthos x cunninghamii","Propagation Method","Softwood cutting, Semihardwood cutting"
"Adenanthos x cunninghamii","Frost Tolerance","Tolerates light frost"
"Adenanthos x cunninghamii","Plant Usage","Screen, Attractive foliage"
"Adenanthos x cunninghamii","Special Uses","Playground friendly"
"Adenanthos x cunninghamii","Attracts Wildlife","Bees, Nectar eating birds"
"Adenanthos x cunninghamii","description","An easy care spreading low shrub with very attractive soft grey green foliage which creates a lovely contrast for other plants. It has small insignificant red-pink flowers in spring that are attractive to small nectar eaters. It originates in Western Australia, but will grow well in a wide range of areas, including more humid ones and coastal positions. It likes lighter soils and does well in full sun to dappled shade, and is drought tolerant. It can handle medium frosts. The foliage works well for floral work."
"Adenanthos sericeus","Scientific Name","Adenanthos sericeus"
"Adenanthos sericeus","Family","Proteaceae"
"Adenanthos sericeus","Common Name","Woolly Bush"
"Adenanthos sericeus","Plant Type","Large shrub"
"Adenanthos sericeus","Height","2 ~ 4 metres"
"Adenanthos sericeus","Width","2 ~ 4 metres"
"Adenanthos sericeus","Flower Colour","Orange"
"Adenanthos sericeus","Flowering Time","All year"
"Adenanthos sericeus","Ph Level","Acid, Neutral, Alkaline"
"Adenanthos sericeus","Soil Type","Sandy, Clay, Loamy, Sandy loam, Clay loam, Potting mix, Poor soil"
"Adenanthos sericeus","Plant Environment","Low maintenance garden, Container growing, Coastal garden"
"Adenanthos sericeus","Climate Zone","Warm temperate, Mediterranean"
"Adenanthos sericeus","Light","Sunny"
"Adenanthos sericeus","Growth Habit","Evergreen, Dense foliage"
"Adenanthos sericeus","Lifespan","Perennial"
"Adenanthos sericeus","Soil Moisture","Well-drained"
"Adenanthos sericeus","Frost Tolerance","Tolerates light frost"
"Adenanthos sericeus","Plant Usage","Attractive foliage"
"Adenanthos sericeus","Special Uses","Playground friendly"
"Adenanthos sericeus","Attracts Wildlife","Bees, Other insects"
"Adenanthos sericeus","description","An attractive shrub growing to around 3 metres tall, great for coastal gardens. The foliage is soft looking with bronze new growth. It has small insignificant orange tubular flowers throughout most of the year. Likes a sunny spot, does well in a wide range of soils as long as they are well drained. Dislikes excess humidity."
"Adenanthos cuneatus","Scientific Name","Adenanthos cuneatus"
"Adenanthos cuneatus","Family","Proteaceae"
"Adenanthos cuneatus","Common Name","Jug Flower"
"Adenanthos cuneatus","Other Common Names","Flame Bush"
"Adenanthos cuneatus","Plant Type","Small shrub, Large shrub"
"Adenanthos cuneatus","Height","0.2 ~ 2 metres"
"Adenanthos cuneatus","Width","1 ~ 2 metre"
"Adenanthos cuneatus","Flower Colour","Red"
"Adenanthos cuneatus","Flowering Time","All year"
"Adenanthos cuneatus","Ph Level","Acid, Neutral"
"Adenanthos cuneatus","Soil Type","Sandy, Loamy, Sandy loam, Potting mix"
"Adenanthos cuneatus","Plant Environment","Low maintenance garden, Coastal garden"
"Adenanthos cuneatus","Climate Zone","Warm temperate, Mediterranean, Semi-arid"
"Adenanthos cuneatus","Light","Sunny, Light shade, Half shade"
"Adenanthos cuneatus","Growth Habit","Evergreen, Spreading"
"Adenanthos cuneatus","Lifespan","Perennial"
"Adenanthos cuneatus","Soil Moisture","Well-drained"
"Adenanthos cuneatus","Frost Tolerance","Tolerates light frost"
"Adenanthos cuneatus","Plant Usage","Attractive foliage"
"Adenanthos cuneatus","Attracts Wildlife","Nectar eating birds"
"Adenanthos cuneatus","description","A variable shrub from coastal areas in the south of Western Australia, with attractive  reddish new growth in summer and very small red flowers for most of the year, peaking in spring. The flowers attract nectar feeding birds. Suits sunny to partly shaded positions. Naturally grows on sandy neutral to acid soils, needs good drainage for gardens and landscaping. A good plant for coastal gardens. It grows from a lignotuber, making it able to regenerate from fire damage."
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Myrtle"
"Agonis flexuosa","Plant Type","Small shrub"
"Agonis flexuosa","Height","1 ~ 1.5 metre"
"Agonis flexuosa","Width","0.6 ~ 0.8 metres"
"Agonis flexuosa","Flower Colour","White"
"Agonis flexuosa","Flowering Time","Spring"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Sandy, Clay, Loamy, Sandy loam, Clay loam, Potting mix, Poor soil"
"Agonis flexuosa","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden"
"Agonis flexuosa","Climate Zone","Tropical, Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool, Semi-arid"
"Agonis flexuosa","Light","Sunny, Light shade"
"Agonis flexuosa","Growth Habit","Evergreen, Dense foliage, Mound-shaped"
"Agonis flexuosa","Lifespan","Perennial"
"Agonis flexuosa","Soil Moisture","Well-drained, Moist moderate drainage"
"Agonis flexuosa","Frost Tolerance","Tolerates light frost"
"Agonis flexuosa","Plant Usage","Hedge, Feature plant, Screen, Attractive foliage"
"Agonis flexuosa","Special Uses","Erosion control, Pollution tolerant, Fast growing, Playground friendly"
"Agonis flexuosa","Attracts Wildlife","Bees, Other insects"
"Agonis flexuosa","description","Swan River Babe is a dwarf form of the popular and easy care Agonis. It is rounded in shape, and grows to around a metre and a half high. Can be pruned to shape and size, or left to grow naturally into a low hedge or screen. It has reddish stems, and white flowers in spring. Likes a sunny position to lightly shaded, performs well in most soil types, and adapts to most climate types across Australia. Tolerates frost and coastal sites."
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Plant Type","Small shrub"
"Agonis flexuosa","Height","0.6 ~ 0.8 metres"
"Agonis flexuosa","Width","0.6 metres"
"Agonis flexuosa","Flower Colour","White"
"Agonis flexuosa","Flowering Time","Summer"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Sandy, Clay, Loamy, Sandy loam, Clay loam, Poor soil"
"Agonis flexuosa","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden, Drought resistant"
"Agonis flexuosa","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Agonis flexuosa","Light","Sunny, Light shade"
"Agonis flexuosa","Growth Habit","Evergreen, Dense foliage, Mound-shaped"
"Agonis flexuosa","Lifespan","Perennial"
"Agonis flexuosa","Soil Moisture","Dry, Well-drained, Moist moderate drainage"
"Agonis flexuosa","Frost Tolerance","Tolerates light frost"
"Agonis flexuosa","Plant Usage","Topiary, Groundcover, Border plant"
"Agonis flexuosa","Special Uses","Erosion control, Playground friendly"
"Agonis flexuosa","Attracts Wildlife","Bees, Other insects"
"Agonis flexuosa","description","A dwarf version of Agonis flexuosa, ‘Mini Peppermint’ grows to just under a metre high and wide, with a great dense and compact growth habit. It has bright green foliage with bronze coloured new growth, and is a terrific low maintenance landscaping plant. It bears white flowers in summer. A perfect plant for seaside gardens, as it withstands winds and sandy soils. It is also suitable for most other soil types too. Likes a sunny to part shaded position."
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Plant Type","Small shrub, Ground cover"
"Agonis flexuosa","Height","0.4 ~ 0.5 metres"
"Agonis flexuosa","Width","0.4 ~ 0.5 metres"
"Agonis flexuosa","Flower Colour","White"
"Agonis flexuosa","Flowering Time","Spring, Summer"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix, Poor soil"
"Agonis flexuosa","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden, Drought resistant"
"Agonis flexuosa","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Agonis flexuosa","Light","Sunny, Light shade"
"Agonis flexuosa","Growth Habit","Evergreen, Dense foliage, Mound-shaped"
"Agonis flexuosa","Lifespan","Perennial"
"Agonis flexuosa","Soil Moisture","Dry, Well-drained, Moist moderate drainage"
"Agonis flexuosa","Frost Tolerance","Tolerates light frost"
"Agonis flexuosa","Plant Usage","Topiary, Groundcover, Feature plant, Border plant, Attractive foliage"
"Agonis flexuosa","Special Uses","Erosion control, Playground friendly"
"Agonis flexuosa","Attracts Wildlife","Bees, Butterflies, Other insects"
"Agonis flexuosa","description","A low, mounding small shrub, Copper Wave has beautiful copper red new growth on a hardy, very low maintenance plant. A good one for coastal planting as it withstands salt and winds. Grows to around half a metre tall and wide, and has a dense ground covering habit. Flowers in spring and summer with small white clusters of blooms."
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Plant Type","Large shrub"
"Agonis flexuosa","Height","3 ~ 5 metres"
"Agonis flexuosa","Width","1 ~ 3 metre"
"Agonis flexuosa","Flower Colour","White"
"Agonis flexuosa","Flowering Time","Spring"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Loamy, Sandy loam, Potting mix"
"Agonis flexuosa","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden"
"Agonis flexuosa","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Agonis flexuosa","Light","Sunny, Light shade"
"Agonis flexuosa","Growth Habit","Evergreen, Dense foliage, Open foliage"
"Agonis flexuosa","Lifespan","Perennial"
"Agonis flexuosa","Soil Moisture","Well-drained"
"Agonis flexuosa","Frost Tolerance","Tolerates light frost"
"Agonis flexuosa","Plant Usage","Hedge, Topiary, Feature plant, Screen, Windbreak, Attractive foliage"
"Agonis flexuosa","Special Uses","Cut flower, Bonsai, Street tree, Playground friendly"
"Agonis flexuosa","Attracts Wildlife","Bees, Butterflies, Other insects"
"Agonis flexuosa","description","The dark burgundy, near black foliage colour and handy size make this a great garden and landscaping plant. Unpruned it grows to around 5 metres tall, making it a good screen and hedge plant, it can also be pruned to the desired size and shape. Regular clipping will ensure a dense growth habit. An eye catching plant for contrasting foliage effects, it is also good for containers and topiary. Likes a well drained soil in a sunny or part shaded spot. Good for coastal plantings."
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Other Common Names","Peppermint Gum"
"Agonis flexuosa","Plant Type","Large shrub"
"Agonis flexuosa","Height"," metres"
"Agonis flexuosa","Width"," metres"
"Agonis flexuosa","Flower Colour","White"
"Agonis flexuosa","Flowering Time","Spring"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Sandy, Loamy, Sandy loam"
"Agonis flexuosa","Plant Environment","Low maintenance garden"
"Agonis flexuosa","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Agonis flexuosa","Light","Sunny, Light shade"
"Agonis flexuosa","Growth Habit","Evergreen, Weeping"
"Agonis flexuosa","Soil Moisture","Well-drained"
"Agonis flexuosa","Plant Usage","Hedge, Topiary, Feature plant, Screen, Attractive foliage"
"Agonis flexuosa","Special Uses","Bonsai, Erosion control, Playground friendly"
"Agonis flexuosa","Attracts Wildlife","Bees, Butterflies, Other insects"
"Agonis flexuosa","description","Agonis flexuosa “Midnight Shadow’ is a compact, evergreen large shrub to small tree with eye catching dark purple foliage, with red tones. It is fast growing, and has weeping foliage. It is cold and drought tolerant, and likes a sunny position. Some shade from hot afternoon sun and protection from winds is desirable. It makes a great contrast foliage colour in the garden, and is an easy care plant, being of naturally tidy habit. This plant also grows well in a large container, and stands out when planted against walls and fences. It is in the Myrtaceae family, and can be susceptible to Myrtle Rust."
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Plant Type","Small tree, Large shrub"
"Agonis flexuosa","Height","5 ~ 8 metres"
"Agonis flexuosa","Width","5 ~ 8 metres"
"Agonis flexuosa","Flower Colour","White"
"Agonis flexuosa","Flowering Time","Summer"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Sandy, Sandy loam, Clay loam, Poor soil"
"Agonis flexuosa","Plant Environment","Low maintenance garden, Coastal garden, Drought resistant"
"Agonis flexuosa","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Agonis flexuosa","Light","Sunny, Light shade"
"Agonis flexuosa","Growth Habit","Evergreen, Dense foliage, Weeping"
"Agonis flexuosa","Soil Moisture","Well-drained"
"Agonis flexuosa","Frost Tolerance","Tolerates light frost"
"Agonis flexuosa","Plant Usage","Feature plant, Screen, Windbreak, Attractive foliage"
"Agonis flexuosa","Special Uses","Cut flower, Street tree, Erosion control, Bird nesting plant, Pollution tolerant, Playground friendly"
"Agonis flexuosa","Attracts Wildlife","Bees, Butterflies"
"Agonis flexuosa","description","Striking lemon-yellow foliage ageing to lime-green on a dense weeping small tree are the outstanding attributes of this adaptable form of Willow Peppermint. It makes a great street or feature tree to provide foliage colour-contrast and is particularly good for coastal areas. It is also virtually maintenance-free apart from the occasional removal of dead or dying branches."
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Plant Type","Small shrub"
"Agonis flexuosa","Height","1 ~ 2 metre"
"Agonis flexuosa","Width","1 ~ 2 metre"
"Agonis flexuosa","Flower Colour","Cream"
"Agonis flexuosa","Flowering Time","All year"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Sandy, Loamy, Sandy loam, Clay loam"
"Agonis flexuosa","Plant Environment","Low maintenance garden, Courtyard, Container growing, Coastal garden, Drought resistant"
"Agonis flexuosa","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool"
"Agonis flexuosa","Light","Sunny, Light shade"
"Agonis flexuosa","Planting Season","All year"
"Agonis flexuosa","Growth Habit","Evergreen, Dense foliage"
"Agonis flexuosa","Lifespan","Perennial"
"Agonis flexuosa","Soil Moisture","Dry, Well-drained, Moist moderate drainage"
"Agonis flexuosa","Frost Tolerance","Tolerates light frost"
"Agonis flexuosa","Plant Usage","Hedge, Topiary, Feature plant, Screen, Windbreak, Border plant, Attractive foliage"
"Agonis flexuosa","Special Uses","Bonsai, Erosion control, Fast growing, Playground friendly"
"Agonis flexuosa","Attracts Wildlife","Bees"
"Agonis flexuosa","description","
		
			#gallery-5 {
				margin: auto;
			}
			#gallery-5 .gallery-item {
				float: left;
				margin-top: 10px;
				text-align: center;
				width: 50%;
			}
			#gallery-5 img {
				border: 2px solid #cfcfcf;
			}
			#gallery-5 .gallery-caption {
				margin-left: 0;
			}
			/* see gallery_shortcode() in wp-includes/media.php */
		"
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Plant Type","Large shrub"
"Agonis flexuosa","Height","2.5 ~ 3 metres"
"Agonis flexuosa","Width","1 ~ 1.5 metre"
"Agonis flexuosa","Flower Colour","Cream"
"Agonis flexuosa","Flowering Time","Summer"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
"Agonis flexuosa","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix"
"Agonis flexuosa","Plant Environment","Low maintenance garden, Poolside, Container growing, Coastal garden"
"Agonis flexuosa","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool"
"Agonis flexuosa","Light","Sunny"
"Agonis flexuosa","Planting Season","All year"
"Agonis flexuosa","Growth Habit","Evergreen"
"Agonis flexuosa","Lifespan","Perennial"
"Agonis flexuosa","Soil Moisture","Well-drained, Moist moderate drainage"
"Agonis flexuosa","Frost Tolerance","Tolerates light frost"
"Agonis flexuosa","Plant Usage","Hedge, Topiary, Feature plant, Screen, Windbreak, Attractive foliage"
"Agonis flexuosa","Special Uses","Erosion control, Playground friendly"
"Agonis flexuosa","description","
		
			#gallery-4 {
				margin: auto;
			}
			#gallery-4 .gallery-item {
				float: left;
				margin-top: 10px;
				text-align: center;
				width: 50%;
			}
			#gallery-4 img {
				border: 2px solid #cfcfcf;
			}
			#gallery-4 .gallery-caption {
				margin-left: 0;
			}
			/* see gallery_shortcode() in wp-includes/media.php */
		"
"Agonis flexuosa","Scientific Name","Agonis flexuosa"
"Agonis flexuosa","Family","Myrtaceae"
"Agonis flexuosa","Common Name","Willow Peppermint"
"Agonis flexuosa","Plant Type","Large shrub"
"Agonis flexuosa","Height","2 ~ 3 metres"
"Agonis flexuosa","Width","1 ~ 2 metre"
"Agonis flexuosa","Flower Colour","Cream"
"Agonis flexuosa","Flowering Time","Summer"
"Agonis flexuosa","Ph Level","Acid, Neutral, Alkaline"
