"study","species","trait_name","value","trait_name_original","value_original","newspecies"
"Benaranurseries","Origanum hyrbid","flower_period","Autumn","Flowering Season","Autumn, Summer",
"Benaranurseries","Phormium Golden Ray","flower_period","Summer","Flowering Season","Summer",
"Benaranurseries","Portulacaria oleracea","flower_period","Spring","Flowering Season","Spring, Winter",
"Benaranurseries","Prunus x hybrid","flower_period","Spring","Flowering Season","Spring",
"Benaranurseries","Prunus x bilreana","flower_period","Spring","Flowering Season","Spring",
"Benaranurseries","Rhaphiolepis indica 'Rapopink' PBR","flower_period","Spring","Flowering Season","Spring, Winter",
"Benaranurseries","Scaevola hybrid","flower_period","Summer","Flowering Season","Summer",
"Benaranurseries","Sedum crassulaceae","flower_period","Summer","Flowering Season","Summer",
"Benaranurseries","Spathoglottis Mellow Yellow","flower_period","Summer","Flowering Season","Summer",
"Benaranurseries","Aloe hybrid","flower_period","Summer","Flowering Season","Autumn, Summer, Winter",
"Benaranurseries","Aloe hybrid","flower_period","Summer","Flowering Season","Autumn, Summer",
"Benaranurseries","Aloe hybrid PBR","flower_period","Winter","Flowering Season","Autumn, Winter",
"Benaranurseries","Aloe hybrid PBR","flower_period","Summer","Flowering Season","Autumn, Summer",
"Benaranurseries","Alstroemeria hybrid","flower_period","Spring","Flowering Season","Autumn, Spring, Summer",
"Benaranurseries","Alstroemeria hybrid","flower_period","Spring","Flowering Season","Autumn, Spring",
"Benaranurseries","Jointed Twig Rush Baumea","flower_period","Spring","Flowering Season","Autumn, Spring, Summer",
"Benaranurseries","BOUGAINVILLEA Mary Palmer","flower_period","Spring","Flowering Season","Autumn, Spring, Summer",
"Benaranurseries","Celosia Argentea Var. Cristata","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","Corymbia ficifolia x hybrid","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","Corpuscularia","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","Dianella hybrid","flower_period","Winter","Flowering Season","Autumn, Winter",
"Benaranurseries","Disphyllum hybrid","flower_period","Spring","Flowering Season","Autumn, Spring, Summer, Winter",
"Benaranurseries","Echeveria x hybrida","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","Echeveria hybrid","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","Evolvulus hybrid","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","GREVILLEA hookeriana","flower_period","Winter","Flowering Season","Spring, Winter",
"Benaranurseries","Grevillea x hybrid","flower_period","Spring","Flowering Season","Autumn, Spring, Winter",
"Benaranurseries","Hemerocallis hybrid","flower_period","Spring","Flowering Season","Autumn, Spring",
"Benaranurseries","Hibiscus Florida","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","LANTANA montevidensis","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","Mandevilla hybrid","flower_period","Summer","Flowering Season","Spring, Summer",
"Benaranurseries","Origanum hyrbid","flower_period","Summer","Flowering Season","Autumn, Summer",
"Benaranurseries","Portulacaria oleracea","flower_period","Winter","Flowering Season","Spring, Winter",
"Benaranurseries","Rhaphiolepis indica 'Rapopink' PBR","flower_period","Winter","Flowering Season","Spring, Winter",
"Benaranurseries","Aloe hybrid","flower_period","Winter","Flowering Season","Autumn, Summer, Winter",
"Benaranurseries","Alstroemeria hybrid","flower_period","Summer","Flowering Season","Autumn, Spring, Summer",
"Benaranurseries","Jointed Twig Rush Baumea","flower_period","Summer","Flowering Season","Autumn, Spring, Summer",
"Benaranurseries","BOUGAINVILLEA Mary Palmer","flower_period","Summer","Flowering Season","Autumn, Spring, Summer",
"Benaranurseries","Disphyllum hybrid","flower_period","Summer","Flowering Season","Autumn, Spring, Summer, Winter",
"Benaranurseries","Grevillea x hybrid","flower_period","Winter","Flowering Season","Autumn, Spring, Winter",
"Benaranurseries","Disphyllum hybrid","flower_period","Winter","Flowering Season","Autumn, Spring, Summer, Winter",
"Benaranurseries","ADENANTHOS cunningham. prostra","flower_colour","red","Flower Colour","Red",
"Benaranurseries","ADENANTHOS cunninghamii shrub","flower_colour","red","Flower Colour","Red",
"Benaranurseries","AGAPANTHUS Black Magic","flower_colour","purple","Flower Colour","Purple",
"Benaranurseries","Agapanthus hybrid","flower_colour","white","Flower Colour","White",
"Benaranurseries","AGAPANTHUS Summer Pearl","flower_colour","white","Flower Colour","White",
"Benaranurseries","Aloe hybrid","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Aloe hybrid","flower_colour","pink","Flower Colour","Pink, White",
"Benaranurseries","Aloe hybrid PBR","flower_colour","orange","Flower Colour","Orange",
"Benaranurseries","Aloe Golly","flower_colour","cream","Flower Colour","Cream, Red",
"Benaranurseries","Aloe hybrid PBR","flower_colour","yellow","Flower Colour","Yellow",
"Benaranurseries","Aloe hybrid PBR","flower_colour","yellow","Flower Colour","Pale Yellow",
"Benaranurseries","Alstroemeria hybrid","flower_colour","orange","Flower Colour","Orange, Yellow",
"Benaranurseries","Alstroemeria hybrid","flower_colour","white","Flower Colour","White",
"Benaranurseries","Alstroemeria hybrid","flower_colour","pink","Flower Colour","Pink, Yellow",
"Benaranurseries","Alstroemeria hybrid","flower_colour","purple","Flower Colour","Purple, Violet",
"Benaranurseries","BAUHINIA x blakeana","flower_colour","pink","Flower Colour","Pink, Purple",
"Benaranurseries","Jointed Twig Rush Baumea","flower_colour","brown","Flower Colour","Brown, Red",
"Benaranurseries","BOUGAINVILLEA Mary Palmer","flower_colour","cream","Flower Colour","Cream, Purple, Red",
"Benaranurseries","Callistemon salignus hybrid","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Callistemon viminalis hybrid","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Celosia Argentea Var. Cristata","flower_colour","purple","Flower Colour","Purple",
"Benaranurseries","Cordyline hybrid","flower_colour","pink","Flower Colour","Pink",
"Benaranurseries","Corymbia ficifolia x hybrid","flower_colour","red","Flower Colour","Red, Scarlet",
"Benaranurseries","Corymbia ficifolia x hybrid","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Corpuscularia","flower_colour","yellow","Flower Colour","Yellow",
"Benaranurseries","Dianella hybrid","flower_colour","blue","Flower Colour","Blue",
"Benaranurseries","Disphyllum hybrid","flower_colour","yellow","Flower Colour","Yellow",
"Benaranurseries","Echeveria x hybrida","flower_colour","peach","Flower Colour","Peach",
"Benaranurseries","Echeveria x hybrida","flower_colour","pink","Flower Colour","Pink",
"Benaranurseries","Echeveria cv. hybrid","flower_colour","pink","Flower Colour","Pale Pink",
"Benaranurseries","Echeveria hybrid","flower_colour","orange","Flower Colour","Orange",
"Benaranurseries","Echeveria x hybrida","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Eremophila glabra sp","flower_colour","orange","Flower Colour","Orange",
"Benaranurseries","Eremophila glabra sp.","flower_colour","golden","Flower Colour","Gold, Yellow",
"Benaranurseries","Eremophila species","flower_colour","green","Flower Colour","Green",
"Benaranurseries","EUCALYPTUS rudis","flower_colour","white","Flower Colour","White",
"Benaranurseries","Eucomis hybrid","flower_colour","pink","Flower Colour","Pink",
"Benaranurseries","Euphorbia x hybrid","flower_colour","pink","Flower Colour","Pink",
"Benaranurseries","Evolvulus hybrid","flower_colour","blue","Flower Colour","Blue",
"Benaranurseries","Grevillea rivularis x G. 'Poorinda Peter'","flower_colour","bronze","Flower Colour","Bronze, Red",
"Benaranurseries","GREVILLEA hookeriana","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Grevillea bipinnatifida x G. banksii var. fosteri","flower_colour","pink","Flower Colour","Pink, Red, Yellow",
"Benaranurseries","Grevillea x hybrid","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Grevillea hybrid","flower_colour","red","Flower Colour","Red, Scarlet",
"Benaranurseries","Grevillea hybrid","flower_colour","pink","Flower Colour","Pink, Red, Yellow",
"Benaranurseries","Haworthia woodiicooperi var. truncata","flower_colour","white","Flower Colour","White",
"Benaranurseries","Hebe hybrida","flower_colour","blue","Flower Colour","Blue, Purple, White",
"Benaranurseries","Hemerocallis hybrid","flower_colour","yellow","Flower Colour","Yellow",
"Benaranurseries","Hibiscus Florida","flower_colour","orange","Flower Colour","Orange",
"Benaranurseries","LANTANA montevidensis","flower_colour","purple","Flower Colour","Purple",
"Benaranurseries","Mandevilla hybrid","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Mandevilla hybrid","flower_colour","crimson","Flower Colour","Crimson, Red",
"Benaranurseries","Mandevillea hybrid","flower_colour","white","Flower Colour","White",
"Benaranurseries","Mandevilla hybrid","flower_colour","pink","Flower Colour","Pink",
"Benaranurseries","Origanum hyrbid","flower_colour","purple","Flower Colour","Purple",
"Benaranurseries","Phormium Golden Ray","flower_colour","orange","Flower Colour","Orange",
"Benaranurseries","Portulacaria oleracea","flower_colour","red","Flower Colour","Red",
"Benaranurseries","Prunus x hybrid","flower_colour","cherry","Flower Colour","Cherry, Pale Pink, White",
"Benaranurseries","Prunus x bilreana","flower_colour","pink","Flower Colour","Pink",
"Benaranurseries","Rhaphiolepis indica 'Rapopink' PBR","flower_colour","pink","Flower Colour","Pink",
"Benaranurseries","SCAEVOLA Mauve Carpet","flower_colour","mauve","Flower Colour","Mauve",
"Benaranurseries","Scaevola hybrid","flower_colour","white","Flower Colour","White",
"Benaranurseries","Sedum Americanum","flower_colour","yellow","Flower Colour","Yellow",
"Benaranurseries","Sedum crassulaceae","flower_colour","cream","Flower Colour","Cream, White",
"Benaranurseries","Spathoglottis Mellow Yellow","flower_colour","yellow","Flower Colour","Yellow",
"Benaranurseries","Aloe hybrid","flower_colour","white","Flower Colour","Pink, White",
"Benaranurseries","Aloe Golly","flower_colour","red","Flower Colour","Cream, Red",
"Benaranurseries","Alstroemeria hybrid","flower_colour","yellow","Flower Colour","Orange, Yellow",
"Benaranurseries","Alstroemeria hybrid","flower_colour","yellow","Flower Colour","Pink, Yellow",
"Benaranurseries","Alstroemeria hybrid","flower_colour","violet","Flower Colour","Purple, Violet",
"Benaranurseries","BAUHINIA x blakeana","flower_colour","purple","Flower Colour","Pink, Purple",
"Benaranurseries","Jointed Twig Rush Baumea","flower_colour","red","Flower Colour","Brown, Red",
"Benaranurseries","BOUGAINVILLEA Mary Palmer","flower_colour","purple","Flower Colour","Cream, Purple, Red",
"Benaranurseries","Corymbia ficifolia x hybrid","flower_colour","scarlet","Flower Colour","Red, Scarlet",
"Benaranurseries","Eremophila glabra sp.","flower_colour","yellow","Flower Colour","Gold, Yellow",
"Benaranurseries","Grevillea rivularis x G. 'Poorinda Peter'","flower_colour","red","Flower Colour","Bronze, Red",
"Benaranurseries","Grevillea bipinnatifida x G. banksii var. fosteri","flower_colour","red","Flower Colour","Pink, Red, Yellow",
"Benaranurseries","Grevillea hybrid","flower_colour","scarlet","Flower Colour","Red, Scarlet",
"Benaranurseries","Grevillea hybrid","flower_colour","red","Flower Colour","Pink, Red, Yellow",
"Benaranurseries","Hebe hybrida","flower_colour","purple","Flower Colour","Blue, Purple, White",
"Benaranurseries","Mandevilla hybrid","flower_colour","red","Flower Colour","Crimson, Red",
"Benaranurseries","Prunus x hybrid","flower_colour","pink","Flower Colour","Cherry, Pale Pink, White",
"Benaranurseries","Sedum crassulaceae","flower_colour","white","Flower Colour","Cream, White",
"Benaranurseries","BOUGAINVILLEA Mary Palmer","flower_colour","red","Flower Colour","Cream, Purple, Red",
"Benaranurseries","Grevillea bipinnatifida x G. banksii var. fosteri","flower_colour","yellow","Flower Colour","Pink, Red, Yellow",
"Benaranurseries","Grevillea hybrid","flower_colour","yellow","Flower Colour","Pink, Red, Yellow",
"Benaranurseries","Hebe hybrida","flower_colour","white","Flower Colour","Blue, Purple, White",
"Benaranurseries","Prunus x hybrid","flower_colour","white","Flower Colour","Cherry, Pale Pink, White",
"Benaranurseries","ADENANTHOS cunningham. prostra","foliage_colour","bronze","Foliage Colour","Copper, Green, Grey, Silver",
"Benaranurseries","AGAPANTHUS Black Magic","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Agapanthus hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","AGAPANTHUS Summer Pearl","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Aloe hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Aloe hybrid PBR","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Aloe Golly","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Alstroemeria hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Plerandra","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Ocimum Basilicum","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","BAUHINIA x blakeana","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Jointed Twig Rush Baumea","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Beta vulagris","foliage_colour","purple","Foliage Colour","Purple, Red",
"Benaranurseries","Beta vulagris","foliage_colour","green","Foliage Colour","Green, Yellow",
"Benaranurseries","BOUGAINVILLEA Mary Palmer","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Callistemon salignus hybrid","foliage_colour","green","Foliage Colour","Green, Red",
"Benaranurseries","Callistemon viminalis hybrid","foliage_colour","greygreen","Foliage Colour","Grey",
"Benaranurseries","Capsicum Annuum","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Celosia Argentea Var. Cristata","foliage_colour","red","Foliage Colour","Red",
"Benaranurseries","Corymbia ficifolia x hybrid","foliage_colour","bronze","Foliage Colour","Bronze, Copper, Green",
"Benaranurseries","Corymbia ficifolia x hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Corpuscularia","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Dianella hybrid","foliage_colour","cream","Foliage Colour","Cream, Gold, White",
"Benaranurseries","Dianella hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Disphyllum hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Dypsis","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Echeveria x hybrida","foliage_colour","green","Foliage Colour","Green, Red",
"Benaranurseries","Echeveria x hybrida","foliage_colour","bluegreen","Foliage Colour","Blue, Grey, Pink",
"Benaranurseries","Echeveria cv. hybrid","foliage_colour","bluegreen","Foliage Colour","Blue",
"Benaranurseries","Echeveria hybrid","foliage_colour","bluegreen","Foliage Colour","Blue, Green",
"Benaranurseries","Echeveria x hybrida","foliage_colour","bluegreen","Foliage Colour","Blue, Green, Grey, Pink",
"Benaranurseries","Echeveria x hybrida","foliage_colour","lightgreen","Foliage Colour","Lime, Purple, Red",
"Benaranurseries","Eremophila glabra sp","foliage_colour","green","Foliage Colour","Green, Grey",
"Benaranurseries","Eremophila glabra sp.","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Eremophila species","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","EUCALYPTUS rudis","foliage_colour","bluegreen","Foliage Colour","Blue, Green, Grey",
"Benaranurseries","Eucomis hybrid","foliage_colour","purple","Foliage Colour","Purple",
"Benaranurseries","Euphorbia x hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Evolvulus hybrid","foliage_colour","green","Foliage Colour","Green, Silver",
"Benaranurseries","FICUS Bushy Prince PVR","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Grevillea rivularis x G. 'Poorinda Peter'","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","GREVILLEA hookeriana","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Grevillea bipinnatifida x G. banksii var. fosteri","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Grevillea x hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Grevillea hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Grevillea hybrid","foliage_colour","green","Foliage Colour","Green, Grey",
"Benaranurseries","Haworthia woodiicooperi var. truncata","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Hebe hybrida","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Hemerocallis hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Hibiscus Florida","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","LANTANA montevidensis","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Liriope muscari 'LIRSS' PBR","foliage_colour","cream","Foliage Colour","Cream, Green",
"Benaranurseries","LIRIOPE Emerald Cascade (PBR)","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Mandevilla hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Mandevillea hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Origanum hyrbid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Phormium Golden Ray","foliage_colour","green","Foliage Colour","Green, Orange, Red, Yellow",
"Benaranurseries","Portulacaria oleracea","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Prunus x hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Rhaphiolepis indica 'Rapopink' PBR","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Scaevola hybrid","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Sedum crassulaceae","foliage_colour","cream","Foliage Colour","Cream, Green, White",
"Benaranurseries","Spathoglottis Mellow Yellow","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","Solanum lycopersicum L.","foliage_colour","green","Foliage Colour","Green",
"Benaranurseries","ADENANTHOS cunningham. prostra","foliage_colour","green","Foliage Colour","Copper, Green, Grey, Silver",
"Benaranurseries","Beta vulagris","foliage_colour","red","Foliage Colour","Purple, Red",
"Benaranurseries","Beta vulagris","foliage_colour","yellow","Foliage Colour","Green, Yellow",
"Benaranurseries","Callistemon salignus hybrid","foliage_colour","red","Foliage Colour","Green, Red",
"Benaranurseries","Cordyline hybrid","foliage_colour","burgundy","Foliage Colour","Brown, Burgundy, Red",
"Benaranurseries","Dianella hybrid","foliage_colour","gold","Foliage Colour","Cream, Gold, White",
"Benaranurseries","Echeveria x hybrida","foliage_colour","red","Foliage Colour","Green, Red",
"Benaranurseries","Echeveria x hybrida","foliage_colour","greygreen","Foliage Colour","Blue, Grey, Pink",
"Benaranurseries","Echeveria hybrid","foliage_colour","green","Foliage Colour","Blue, Green",
"Benaranurseries","Echeveria x hybrida","foliage_colour","green","Foliage Colour","Blue, Green, Grey, Pink",
"Benaranurseries","Echeveria x hybrida","foliage_colour","purple","Foliage Colour","Lime, Purple, Red",
"Benaranurseries","Eremophila glabra sp","foliage_colour","greygreen","Foliage Colour","Green, Grey",
"Benaranurseries","EUCALYPTUS rudis","foliage_colour","green","Foliage Colour","Blue, Green, Grey",
"Benaranurseries","Evolvulus hybrid","foliage_colour","silver_foliage","Foliage Colour","Green, Silver",
"Benaranurseries","Grevillea hybrid","foliage_colour","greygreen","Foliage Colour","Green, Grey",
"Benaranurseries","Liriope muscari 'LIRSS' PBR","foliage_colour","green","Foliage Colour","Cream, Green",
"Benaranurseries","Sedum crassulaceae","foliage_colour","green","Foliage Colour","Cream, Green, White",
"Benaranurseries","ADENANTHOS cunningham. prostra","foliage_colour","greygreen","Foliage Colour","Copper, Green, Grey, Silver",
"Benaranurseries","Cordyline hybrid","foliage_colour","red","Foliage Colour","Brown, Burgundy, Red",
"Benaranurseries","Corymbia ficifolia x hybrid","foliage_colour","green","Foliage Colour","Bronze, Copper, Green",
"Benaranurseries","Echeveria x hybrida","foliage_colour","pinkred","Foliage Colour","Blue, Grey, Pink",
"Benaranurseries","Echeveria x hybrida","foliage_colour","greygreen","Foliage Colour","Blue, Green, Grey, Pink",
"Benaranurseries","Echeveria x hybrida","foliage_colour","red","Foliage Colour","Lime, Purple, Red",
"Benaranurseries","EUCALYPTUS rudis","foliage_colour","greygreen","Foliage Colour","Blue, Green, Grey",
"Benaranurseries","Phormium Golden Ray","foliage_colour","red","Foliage Colour","Green, Orange, Red, Yellow",
"Benaranurseries","ADENANTHOS cunningham. prostra","foliage_colour","silver_foliage","Foliage Colour","Copper, Green, Grey, Silver",
"Benaranurseries","Echeveria x hybrida","foliage_colour","pinkred","Foliage Colour","Blue, Green, Grey, Pink",
"Benaranurseries","Phormium Golden Ray","foliage_colour","yellow","Foliage Colour","Green, Orange, Red, Yellow",
"Benaranurseries","Prunus x bilreana","seasonal_colour","bronze","Foliage Colour","Bronze, Purple",
"Benaranurseries","Prunus x bilreana","seasonal_colour","burgundy","Foliage Colour","Bronze, Purple",
"Benaranurseries","ACER Dissectum Inaba-shidara","flower_description","no","Flower Type","No",
"Benaranurseries","ACER p. Dissectum Atropurpurea","flower_description","no","Flower Type","No",
"Benaranurseries","ADENANTHOS cunningham. prostra","flower_description","tubular","Flower Type","Tubular - The Corolla Forms A Tube",
"Benaranurseries","ADENANTHOS cunninghamii shrub","flower_description","no","Flower Type","No",
"Benaranurseries","AGAPANTHUS Black Magic","flower_description","tubular","Flower Type","Tubular - The Corolla Forms A Tube",
"Benaranurseries","Agapanthus hybrid","flower_description","tubular","Flower Type","Tubular",
"Benaranurseries","AGAPANTHUS Summer Pearl","flower_description","tubular","Flower Type","Tubular - The Corolla Forms A Tube",
"Benaranurseries","Aloe hybrid","flower_description","tubular","Flower Type","Tubular - The Corolla Forms A Tube",
"Benaranurseries","Aloe hybrid PBR","flower_description","tubular","Flower Type","Tubular - The Corolla Forms A Tube",
"Benaranurseries","Aloe Golly","flower_description","no","Flower Type","No",
"Benaranurseries","Alstroemeria hybrid","flower_description","lilaceous","Flower Type","Lilaceous - Like The Blossom Of A Lily In General Form",
"Benaranurseries","Alstroemeria hybrid","flower_description","funnelform","Flower Type","Funnelform - The Corolla Shaped Like A Funnel",
"Benaranurseries","Plerandra","flower_description","no","Flower Type","No",
"Benaranurseries","Ocimum Basilicum","flower_description","no","Flower Type","No",
"Benaranurseries","BAUHINIA x blakeana","flower_description","lilaceous","Flower Type","Lilaceous - Like The Blossom Of A Lily In General Form",
"Benaranurseries","Jointed Twig Rush Baumea","flower_description","panicles","Flower Type","Panicles/Tubular - The Corolla Forms A Tube",
"Benaranurseries","Beta vulagris","flower_description","no","Flower Type","No",
"Benaranurseries","BOUGAINVILLEA Mary Palmer","flower_description","bract","Flower Type","Bracts/Salverform - Slender Tube, Lobes At 90degrees",
"Benaranurseries","Callistemon salignus hybrid","flower_description","bottlebrush","Flower Type","Cylindrical Bottlebrush - Eg. Callistemon",
"Benaranurseries","Callistemon viminalis hybrid","flower_description","bottlebrush","Flower Type","Cylindrical Bottlebrush - Eg. Callistemon",
"Benaranurseries","Capsicum Annuum","flower_description","no","Flower Type","No",
"Benaranurseries","Celosia Argentea Var. Cristata","flower_description","no","Flower Type","No",
"Benaranurseries","Cordyline hybrid","flower_description","panicles","Flower Type","Panicles",
"Benaranurseries","Corymbia ficifolia x hybrid","flower_description","cyme","Flower Type","Cyme",
"Benaranurseries","Crassula Crassulaceae","flower_description","no","Flower Type","No",
"Benaranurseries","Corpuscularia","flower_description","cyme","Flower Type","Cyme",
"Benaranurseries","Dianella hybrid","flower_description","cluster","Flower Type","Terminal Clusters",
"Benaranurseries","Disphyllum hybrid","flower_description","liguate","Flower Type","Liguate - Strap-like, Petal-like Flowers Of Daisies",
"Benaranurseries","DISPHYMA crassifolium","flower_description","no","Flower Type","No",
"Benaranurseries","Dypsis","flower_description","no","Flower Type","No",
"Benaranurseries","Echeveria x hybrida","flower_description","tubular","Flower Type","Tubular - The Corolla Forms A Tube",
"Benaranurseries","Echeveria x hybrida","flower_description","tubular","Flower Type","Tubular",
"Benaranurseries","Echeveria cv. hybrid","flower_description","campanulate","Flower Type","Campanulate - Bell Shaped, With The Segments Gently Flaring/Lilaceous - Like The Blossom Of A Lily In General Form",
"Benaranurseries","Echeveria hybrid","flower_description","campanulate","Flower Type","Campanulate - Bell Shaped, With The Segments Gently Flaring/Terminal Clusters",
"Benaranurseries","Eremophila glabra sp","flower_description","tubular","Flower Type","Tubular - The Corolla Forms A Tube",
"Benaranurseries","Eremophila glabra sp.","flower_description","labiate","Flower Type","Labiate - Corolla Forming A Lip",
"Benaranurseries","Eremophila species","flower_description","labiate","Flower Type","Labiate - Corolla Forming A Lip",
"Benaranurseries","EUCALYPTUS rudis","flower_description","panicles","Flower Type","Panicles",
"Benaranurseries","Eucomis hybrid","flower_description","bottlebrush","Flower Type","Cylindrical Bottlebrush - Eg. Callistemon",
"Benaranurseries","Euphorbia x hybrid","flower_description","bract","Flower Type","Bracts",
"Benaranurseries","Evolvulus hybrid","flower_description","rotate","Flower Type","Rotate - Petals Turn Around On An Axis Or Center, Wheel-shaped",
"Benaranurseries","FICUS Bushy Prince PVR","flower_description","no","Flower Type","No",
"Benaranurseries","Grevillea rivularis x G. 'Poorinda Peter'","flower_description","no","Flower Type","No",
"Benaranurseries","GREVILLEA hookeriana","flower_description","raceme","Flower Type","Raceme",
"Benaranurseries","Grevillea bipinnatifida x G. banksii var. fosteri","flower_description","raceme","Flower Type","Raceme",
"Benaranurseries","Grevillea x hybrid","flower_description","cluster","Flower Type","Terminal Clusters",
"Benaranurseries","Grevillea hybrid","flower_description","cluster","Flower Type","Terminal Clusters",
"Benaranurseries","Grevillea hybrid","flower_description","raceme","Flower Type","Raceme",
"Benaranurseries","Haworthia woodiicooperi var. truncata","flower_description","no","Flower Type","No",
"Benaranurseries","Hebe hybrida","flower_description","no","Flower Type","No",
"Benaranurseries","Hemerocallis hybrid","flower_description","lilaceous","Flower Type","Lilaceous - Like The Blossom Of A Lily In General Form",
"Benaranurseries","Herb Hanging Basket","flower_description","no","Flower Type","No",
"Benaranurseries","Hibiscus Florida","flower_description","lilaceous","Flower Type","Lilaceous - Like The Blossom Of A Lily In General Form",
"Benaranurseries","LANTANA montevidensis","flower_description","cluster","Flower Type","Terminal Clusters",
"Benaranurseries","Liriope muscari 'LIRSS' PBR","flower_description","no","Flower Type","No",
"Benaranurseries","LIRIOPE Emerald Cascade (PBR)","flower_description","no","Flower Type","No",
"Benaranurseries","Mandevilla hybrid","flower_description","lilaceous","Flower Type","Lilaceous - Like The Blossom Of A Lily In General Form",
"Benaranurseries","Mandevilla hybrid","flower_description","funnelform","Flower Type","Funnelform - The Corolla Shaped Like A Funnel",
"Benaranurseries","Mandevillea hybrid","flower_description","lilaceous","Flower Type","Lilaceous - Like The Blossom Of A Lily In General Form",
"Benaranurseries","Mandevilla hybrid","flower_description","no","Flower Type","No",
"Benaranurseries","Mandevilla hybrid","flower_description","rotate","Flower Type","Rotate - Petals Turn Around On An Axis Or Center, Wheel-shaped",
"Benaranurseries","Origanum hyrbid","flower_description","no","Flower Type","No",
"Benaranurseries","Passiflora P. edulis","flower_description","no","Flower Type","No",
"Benaranurseries","Phormium Golden Ray","flower_description","no","Flower Type","No",
"Benaranurseries","Portulacaria oleracea","flower_description","rotate","Flower Type","Rotate - Petals Turn Around On An Axis Or Center, Wheel-shaped",
"Benaranurseries","Prunus x hybrid","flower_description","cluster","Flower Type","Terminal Clusters",
"Benaranurseries","Prunus x bilreana","flower_description","rotate","Flower Type","Rotate - Petals Turn Around On An Axis Or Center, Wheel-shaped",
"Benaranurseries","Rhaphiolepis indica 'Rapopink' PBR","flower_description","rotate","Flower Type","Rotate - Petals Turn Around On An Axis Or Center, Wheel-shaped",
"Benaranurseries","SCAEVOLA Mauve Carpet","flower_description","no","Flower Type","No",
"Benaranurseries","Scaevola hybrid","flower_description","tubular","Flower Type","Tubular",
"Benaranurseries","Sedum Americanum","flower_description","no","Flower Type","No",
"Benaranurseries","Sedum crassulaceae","flower_description","no","Flower Type","No",
"Benaranurseries","Spathoglottis Mellow Yellow","flower_description","cluster","Flower Type","Terminal Clusters",
