"","value","Trait","species"
"175","Water well at planting time and monitor soil moisture until the next winter. Give a deep watering twice a week during the first summer and autumn. Thereafter, it should not be necessary to give extra water unless there is a prolonged dry spell, when water can be applied sparingly at the roots. Open mulch helps to conserve moisture during dry periods.","Watering","Grevillea sparsiflora"
"176","The only pruning necessary for this plant would be in the interests of tidiness as it is naturally compact.","Pruning","Grevillea sparsiflora"
"177","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea sparsiflora"
"178","Grevilleas in general may be susceptible to ‘dieback’ (the soil-borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea sparsiflora"
"179","Birds find the flowers of this grevillea very attractive and the dense foliage affords protection as they forage.","Miscellaneous","Grevillea sparsiflora"
"180","Sparse Flowered Grevillea","common name","Grevillea sparsiflora"
"181","Hibbertia grossulariifolia is a prostrate shrub from the southern tip of Western Australia. Its red, hairy stems spread to more than one metre across and the dark, glossy green, deeply-lobed leaves are 25–30 mm in diameter. It makes an excellent ground cover and will spill attractively over retaining walls.","Description","Hibbertia grossulariifolia"
"182","Five-petalled golden flowers, up to 30 mm in diameter, occur mainly from August to December. Individual flowers are short-lived but new flowers are constantly produced over a long period. They form a bright contrast to the deep-green foliage.","Flowers","Hibbertia grossulariifolia"
"183","This species grows naturally on sand or loam, in forest areas, coastal dunes and swamp edges, but prefers a well-drained soil. It thrives in full sun and is also successful in shade. It will tolerate moderate frost.","Growing conditions","Hibbertia grossulariifolia"
"184","Water in well at time of planting and monitor its water needs carefully for the first winter and summer. After this, ensure it has moisture during extended dry periods.","Watering","Hibbertia grossulariifolia"
"185","Trim as required after flowering to maintain a dense ground cover.","Pruning","Hibbertia grossulariifolia"
"186","Apply a slow-release native plant fertiliser when planting and annually as required in the spring months.","Fertiliser","Hibbertia grossulariifolia"
"187","In the home garden, this species is rarely susceptible to pests or diseases.","Pests and diseases","Hibbertia grossulariifolia"
"188","This plant was first described by the English botanist Richard Salisbury in 1807. He placed it in the Burtonia genus but subsequently reclassified it as Hibbertia grossulariifolia: Hibbertia in honour of George Hibbert, a patron of botany, and grossulariifolia for its gooseberry like leaves. ","Miscellaneous","Hibbertia grossulariifolia"
"189","Hibbertia grossulariifolia","common name","Hibbertia grossulariifolia"
"190","This Leucophyta comes in a range of shapes and forms from the upright Canal Rocks form (1 m) to the dense small cushion bush (0.15 m). Its unique almost white foliage and stems provide contrast in a garden. It may be planted en masse, as a border, or as an accent plant to achieve varying degrees of grey foliage within your garden design.","Description","Leucophyta brownii"
"191","The somewhat inconspicuous flowers appear in summer, but the plant is grown for its foliage rather than its flowers.","Flowers","Leucophyta brownii"
"192","Cushion Bush grows well under coastal conditions but can be grown elsewhere providing the soil is free-draining. For best results plant in full sun in autumn or winter. Some forms grow well in containers and will trail over the edge of a pot or wall.","Growing conditions","Leucophyta brownii"
"193","Once established this plant shouldn’t require watering, but to ensure survival water once a week at its base during hotter weather. Open mulch will help to conserve moisture.","Watering","Leucophyta brownii"
"194","Generally the natural habit of this plant is compact and it can be encouraged to be more compact by regular light pruning.","Pruning","Leucophyta brownii"
"195","Apply slow release native blend 8–9 month fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Leucophyta brownii"
"196","Sometimes scale and mealybugs can cause minor issues.","Pests and diseases","Leucophyta brownii"
"197","This species is a rapid grower and in a garden environment it is often short-lived and requires replacement every two to three years to maintain shape and vigour.","Miscellaneous","Leucophyta brownii"
"198","Cushion Bush","common name","Leucophyta brownii"
"199","The word fulgens means shining or illustrious. Certainly this Melaleuca has been admired for many years for its beautiful flower spikes. Of open habit, the mature height and width is about 1.5 m by 1.5 m.","Description","Melaleuca fulgens"
"200","Flowering time is late spring to early summer. Flowers occur in spikes and are usually scarlet but colour variations of apricot or pinkish-red are also available. Spikes are borne on lateral branches and this seems to be why the flowers are so well displayed. Kings Park Master","Flowers","Melaleuca fulgens"
"201","Telephone: (08) 9480 Melaleuca fulgens is adaptable to most soils including heavy soils but may show 3672 yellowing of the foliage if the soil is alkaline. Choose a sunny spot or part shade. Plant when the soil has cooled down but there is still some warmth remaining in the soil. Late autumn and early winter are the best times.","Growing conditions","Melaleuca fulgens"
"202","Water thoroughly at planting time and in the summer following. If there is a long dry spell during the winter it will also need extra water. Once established it is very tolerant of dry conditions.","Watering","Melaleuca fulgens"
"203","Prune lightly to shape as it is maturing and after flowering to avoid woodiness and to encourage new growth for subsequent flowering.","Pruning","Melaleuca fulgens"
"204","Apply a slow-release native plant fertiliser at the time of planting and then annually if necessary for the soil type.","Fertiliser","Melaleuca fulgens"
"205","A healthy plant should not have trouble with pests or diseases. If a few mealy bugs appear, brush these carefully with a small fine paint brush (child’s type) dipped in a solution of methylated spirits and water.","Pests and diseases","Melaleuca fulgens"
"206","The Scarlet Honey Myrtle has been grown successfully in large containers. ","Miscellaneous","Melaleuca fulgens"
"207","Scarlet Honey Myrtle","common name","Melaleuca fulgens"
"208","Thryptomene denticulata is a small shrub 0.4–1.5 m high and 1 m wide with an open, arching habit. Its tiny leaves provide a great contrast in the garden.","Description","Thryptomene denticulata"
"209","This plant produces purple flowers with its main show in late winter and early spring. However, under cultivation minor flowering can occur right through to early summer.","Flowers","Thryptomene denticulata"
"210","It thrives in all soil types but it is important that the site is free-draining. It prefers full sun but can be grown in part-shade although flowering will be less prolific. Thryptomene denticulata is best planted in the autumn and winter months.","Growing conditions","Thryptomene denticulata"
"211","Once established this plant is drought tolerant. For optimum floral display, it is best watered once a week at the base of the plant. Open mulch will help to conserve moisture.","Watering","Thryptomene denticulata"
"212","To maintain well-shaped flowering plants it is advisable to remove one third of the foliage following flowering.","Pruning","Thryptomene denticulata"
"213","Apply slow release native blend 8–9 month fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Thryptomene denticulata"
"214","The leaves may be eaten by caterpillars.","Pests and diseases","Thryptomene denticulata"
"215","For the best display plant en masse. After 5 to 10 years the plants are best replaced with new stock.","Miscellaneous","Thryptomene denticulata"
"216","Thryptomene","common name","Thryptomene denticulata"
"217","The Golden Feather Flower is a slow-growing, small shrub to 1 m high by 0.6 m wide. Plant en masse to create a stunning display. It does well in raised beds, containers or rockeries.","Description","Verticordia chrysantha"
"218","This Verticordia flowers prolifically with bright yellow flowers covering the plant in late spring to early summer.","Flowers","Verticordia chrysantha"
"219","The Golden Feather Flower thrives in all soil types but the site should be free- draining and in full sun. It is best planted in the autumn and winter months.","Growing conditions","Verticordia chrysantha"
"220","Once established it is drought-tolerant but for optimum growth and flowering it is best watered once a week at the base of the plant. Open mulch will help to conserve moisture.","Watering","Verticordia chrysantha"
"221","Following flowering, the plant will respond well to a general all-over pruning. This prevents the formation of woody stems.","Pruning","Verticordia chrysantha"
"222","Apply slow-release native blend 8–9 month fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Verticordia chrysantha"
"223","This plant can be susceptible to scale and is prone to powdery mildew in the winter months particularly if not grown in full sun.","Pests and diseases","Verticordia chrysantha"
"224","After 5 years the plants are best replaced with new stock.","Miscellaneous","Verticordia chrysantha"
"225","Yellow Feather Flower","common name","Verticordia chrysantha"
"226","This medium shrub grows to a height of 4 m and a width of 2 m. It flowers in summer and autumn, providing nectar-loving birds with a source of food during the hot summer months.","Description","Banksia burdettii"
"227","The two-toned orange and cream, cone-shaped flower spikes are spectacular against the blue summer sky. They are up to 120 mm in length and 100 mm in diameter and are ideal as a cut flower.","Flowers","Banksia burdettii"
"228","This Banksia is a proven performer in all soil types providing there is good drainage. It is best planted in autumn in a sunny position.","Growing conditions","Banksia burdettii"
"229","Once established, this plant is very hardy and in some situations needs no supplementary summer watering.","Watering","Banksia burdettii"
"230","Banksias in general respond well to pruning. Formative pruning at an early age is advised to create a dense multi-branched shrub. After flowering it is advisable to remove spent flower spikes in order to stimulate the next season’s floral display. Cutting the flowers for vase use is also a good way to prune, followed by a light overall pruning when flowering is finished.","Pruning","Banksia burdettii"
"231","Apply slow release native blend 8–9 month fertiliser at planting and annually as required in spring.","Fertiliser","Banksia burdettii"
"232","This plant is vulnerable to borers within the major stems and small growing tips. Burdett’s Banksia is also susceptible to dieback (the soil-borne fungus, Phytophthora cinnamomi) and occasionally to mealybugs.","Pests and diseases","Banksia burdettii"
"233","This shrub is very shallow-rooted and care must be taken to protect the roots from any interference. Plants can last in the garden for 5 to 10 years. After this period, or when the plant begins to lose vigour and produce few flowers, removal and replacement is recommended.","Miscellaneous","Banksia burdettii"
"234","Burdett’s Banksia","common name","Banksia burdettii"
"235","A medium shrub, Chamelaucium ciliatum grows to 1.2 m high by 0.5 m wide. It is ideally suited to mass planting and will adapt to semi-shaded positions.","Description","Chamelaucium ciliatum"
"236","Plants flower profusely during spring. The small flowers of white, pink or purple make great fillers for floral arrangements.","Flowers","Chamelaucium ciliatum"
"237","The Wax Flower is a proven performer on all soil types providing there is good drainage. It is best planted in autumn/winter in a sunny position.","Growing conditions","Chamelaucium ciliatum"
"238","Once established, plants may not need watering but watering once a week at the base of the plant will improve flowering. Open mulch will help to conserve moisture.","Watering","Chamelaucium ciliatum"
"239","This species is highly responsive to pruning. To maintain well-shaped flowering plants it is advisable to cut back one-third of the foliage each year after flowering.","Pruning","Chamelaucium ciliatum"
"240","Apply slow release native blend 8–9 month fertiliser at planting and annually as required in spring.","Fertiliser","Chamelaucium ciliatum"
"241","This species is susceptible to dieback (the soil-borne fungus, Phytophthora cinnamomi) but is generally hardy.","Pests and diseases","Chamelaucium ciliatum"
"242","Chamelaucium ciliatum is best replaced after about 5 years when plants begin to lose vigour.","Miscellaneous","Chamelaucium ciliatum"
"243","Wax Flower","common name","Chamelaucium ciliatum"
"244","Grevillea bracteosa is a hardy, medium shrub growing to some 2 m tall and has an open habit. Its grey-green narrow leaves are up to 8 cm long and the flowers, which are borne on the ends of stems, are shielded by bracts (leaf-like structures) until they open.","Description","Grevillea bracteosa"
"245","This grevillea species flowers for much of the year with the best display of the clustered pink or rarely white flowers from August to October. The nectar-rich flowers will attract honeyeaters to the garden.","Flowers","Grevillea bracteosa"
"246","Although this shrub grows naturally on gravelly loam it adapts well to a wide range of acid-to-neutral, free-draining soils. It is best planted in a sunny position in the autumn or winter months and once established is tolerant of drought conditions and light frost.","Growing conditions","Grevillea bracteosa"
"247","Water well at planting time and monitor soil moisture until the next winter. Give a deep watering twice a week during the first summer and autumn. Thereafter, it should not be necessary to give extra water unless there is a prolonged dry spell. Water only at roots, not overhead.","Watering","Grevillea bracteosa"
"248","Light tip pruning during establishment will help develop good form. Prune lightly after flowering to maintain a compact form and to promote new growth.","Pruning","Grevillea bracteosa"
"249","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea bracteosa"
"250","Grevilleas in general may be susceptible to ‘dieback’ (the soil-borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea bracteosa"
"251","Grevillea bracteosa, threatened in the wild, is highly recommended as an open-habit specimen shrub within your garden.","Miscellaneous","Grevillea bracteosa"
"252","Bracted Grevillea","common name","Grevillea bracteosa"
"253","In cultivation this showy grevillea grows rapidly to 1.5–2.0 m in height and 1.5 m in width. It is an open shrub with attractive foliage that can grow in crowded conditions as a feature plant among other shrubs and is also a great addition to a semi-shaded area in a garden. Its survival is threatened in the wild.","Description","Grevillea flexuosa"
"254","Flowering in winter and early spring the lemon or creamy-white cylindrical inflorescences are perfumed and can highlight a semi-shaded area. They may attract butterflies, insects and nectar-feeding birds.","Flowers","Grevillea flexuosa"
"255","Grevillea flexuosa needs full or partial sunlight and good drainage. It is best planted in autumn and winter months in sand over granite, sandy loams or gravelly soil. This plant is frost tolerant.","Growing conditions","Grevillea flexuosa"
"256","Establish the plant by watering well at the base initially and ensuring that until established it does not dry out, after which it should not require watering except in very prolonged dry summer spells. Water only at roots, not overhead. Open mulch will help to conserve moisture.","Watering","Grevillea flexuosa"
"257","Regular tip pruning will help make the shrub more compact as it has a naturally open and spreading habit.","Pruning","Grevillea flexuosa"
"258","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea flexuosa"
"259","Grevilleas in general may be susceptible to ‘dieback’ (the soil-borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea flexuosa"
"260","In botany the term flexuosa is applied to a stem which is zigzag, changing directions at the nodes. Grevillea flexuosa, threatened in its natural habitat, is also suitable for growing in pots.","Miscellaneous","Grevillea flexuosa"
"261","Tangled Grevillea","common name","Grevillea flexuosa"
"262","Grevillea humifusa is threatened in the wild. It is a prostrate shrub that has a low, spreading habit with trailing stems to 3 m. Its silver-grey dense foliage is very attractive and offsets the flowers when in bloom. A highly versatile plant and well worth considering for home gardens of mediterranean, cottage, coastal and bush designs.","Description","Grevillea humifusa"
"263","In a long-flowering period through winter/spring, bright red flowers in profusion attract small nectar-seeking birds.","Flowers","Grevillea humifusa"
"264","This species can adapt to most well-draining soils. It will grow in gravelly soil, loam, deep sand and is lime tolerant. In its natural habitat it grows amongst medium or low trees or tall shrubs. Grevillea humifusa will grow in dry areas and in full sun and partial shade. It is frost-tolerant.","Growing conditions","Grevillea humifusa"
"265","Establish the plant by watering well initially and ensuring that until established it does not dry out, after which it should not require watering except in very prolonged dry summer spells. Water only at roots, not overhead. Open mulch will help to conserve moisture.","Watering","Grevillea humifusa"
"266","The natural habit of this plant is spreading but it can be encouraged to be more compact by regular light pruning.","Pruning","Grevillea humifusa"
"267","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea humifusa"
"268","Grevilleas in general may be susceptible to ‘dieback’ (the soil- borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea humifusa"
"269","The trailing habit of Grevillea humifusa makes it a suitable plant for rockeries and in pots.","Miscellaneous","Grevillea humifusa"
"270","Spreading Grevillea","common name","Grevillea humifusa"
"271","This grevillea is from the jarrah-marri forests of the Darling Range. It has attractive bright green foliage, attains a height of 2 m and is recommended as a plant suitable for growing under the canopy of mature eucalyptus trees. It is classed as a priority species for conservation in the wild.","Description","Grevillea pimeleoides"
"272","These appear from winter to spring and are bright yellow. The flowers provide a delightful contrast to the foliage and are very attractive to nectar-loving birds. As they age they develop orange-red tips.","Flowers","Grevillea pimeleoides"
"273","This plant prefers a sunny or semi-shaded well-drained site although it can tolerate wet (but not water-logged) conditions and some frosts. It is not suitable for alkaline soils—a neutral to acid soil is required.","Growing conditions","Grevillea pimeleoides"
"274","Establish the plant by watering well initially and ensuring that until established it does not dry out. In summer G. pimeleoides needs the soil at the lower root zone to be kept damp although the upper soil can be quite dry. This requires that water be carefully applied. Water only at roots, not overhead.","Watering","Grevillea pimeleoides"
"275","Light tip pruning during establishment will help develop a good dense form with light pruning after flowering also recommended, depending on the gardener’s preference.","Pruning","Grevillea pimeleoides"
"276","Apply slow-release, native- blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea pimeleoides"
"277","Grevilleas in general may be susceptible to ‘dieback’ (the soil-borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea pimeleoides"
"278","This attractive grevillea is recommended for growing as a large specimen shrub or for screening in the eastern suburbs of the Perth Metropolitan area.","Miscellaneous","Grevillea pimeleoides"
"279","Grevillea pimeleoides","common name","Grevillea pimeleoides"
"280","This green/grey soft-foliaged compact, medium shrub grows to a height of 0.7 m and width of 1.2 m. Well suited to mass planting it makes an ideal border and is a must for any home garden.","Description","Grevillea preissii subsp. glabrilimba"
"281","In the wild this Grevillea flowers mainly from July to September but in gardens it can flower intermittently through the year. The bright red flowers attract small nectar-seeking birds.","Flowers","Grevillea preissii subsp. glabrilimba"
"282","As a limestone-lover, particularly suited to exposed coastal influences, this species can also adapt to any free-draining soil. For best results plant in full sun in autumn or winter.","Growing conditions","Grevillea preissii subsp. glabrilimba"
"283","Once established, this Grevillea species is tolerant of dry spells of weather. For optimum floral display, it is best watered at the base of the plant once a week. Open mulch will help to conserve moisture.","Watering","Grevillea preissii subsp. glabrilimba"
"284","The natural habit of this plant is compact and it can be encouraged to be more compact by regular light pruning.","Pruning","Grevillea preissii subsp. glabrilimba"
"285","Apply slow release native blend 8–9 month fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea preissii subsp. glabrilimba"
"286","Grevilleas can be susceptible to scale and dieback (the soil-borne organism Phytophthora cinnamomi).","Pests and diseases","Grevillea preissii subsp. glabrilimba"
"287","This Grevillea can adapt to semi-shade positions as an under-storey plant amongst open eucalypt canopy. It is best replaced every 5 years when the shrub starts to lose its density and ability to flower abundantly.","Miscellaneous","Grevillea preissii subsp. glabrilimba"
"288","Grevillea preissii subsp. glabrilimba","common name","Grevillea preissii subsp. glabrilimba"
"289","This is a most attractive plant with silver, bluish-grey foliage. It can reach a height of 2 m and would be very suitable for screening but also is an excellent subject for a feature plant. It is classed as a priority species for conservation in the wild.","Description","Grevillea stenomera"
"290","The large pale pink, orange-pink or orange-red inflorescences are half-hidden within the foliage but make a beautiful contrast with it. The flowering period is long—late winter to early summer. Flowers are very attractive to birds as they produce plenty of nectar.","Flowers","Grevillea stenomera"
"291","This grevillea requires a well-drained site in full sun with a soil neutral to slightly alkaline. It can tolerate dry and coastal conditions (perhaps not full exposure) and is tolerant of light frost.","Growing conditions","Grevillea stenomera"
"292","Establish the plant by watering well initially and ensuring that until established it does not dry out, after which it should not require watering except in very prolonged dry summer spells. Water only at roots, not overhead. An open mulch is also recommended to conserve moisture.","Watering","Grevillea stenomera"
"293","Tip-prune during establishment and regularly after flowering to develop and maintain the desired form.","Pruning","Grevillea stenomera"
"294","Apply slow-release, native-blend fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Grevillea stenomera"
"295","Grevilleas in general may be susceptible to ‘dieback’ (the soil-borne disease caused by the organism Phytophthora cinnamomi). The best means of minimising the possibility of infection is to source plants from registered suppliers and to plant in free-draining soil.","Pests and diseases","Grevillea stenomera"
"296","Unlike some Western Australian grevilleas this is not commonly grown in domestic gardens but it is a spectacular shrub and will reward the gardener who chooses to grow it either as a contrast or as a feature plant.","Miscellaneous","Grevillea stenomera"
"297","Lace Net Grevillea","common name","Grevillea stenomera"
"298","The Woolly Bush is a large upright shrub that grows from 0.5 m to 5 m high by 2 m wide. Its soft, silver-grey foliage provides an attractive contrast in the garden. It can be grown in a range of conditions, including coastal areas.","Description","Adenanthos sericeus"
"299","The small, red flowers on this plant are almost inconspicuous, but they are a great source of nectar for small honeyeaters throughout most of the year.","Flowers","Adenanthos sericeus"
"300","This species thrives on coastal sands and right through to heavy soils, providing the site is free-draining. It is best grown in full sun but is highly adaptable and can cope with semi-shade to create an under-storey. A shady position, however, will cause plants to become ‘leggy’ and more regular pruning is required to maintain shape and form. Autumn and winter are the preferred planting times.","Growing conditions","Adenanthos sericeus"
"301","Once established, this plant is very hardy and in some situations needs no supplementary summer watering. Open mulch will help to conserve moisture.","Watering","Adenanthos sericeus"
"302","The Woolly Bush is able to be hedged and shaped to suit any situation within the home garden. It is highly responsive to pruning and mature plants can even tolerate severe major limb removal to stimulate development of new foliage.","Pruning","Adenanthos sericeus"
"303","Apply slow release native blend 8–9 month fertiliser at planting and annually as required in spring.","Fertiliser","Adenanthos sericeus"
"304","This plant is vulnerable to borers within the major stems and small growing tips. The Woolly Bush is also susceptible to dieback (the soil-borne fungus, Phytophthora cinnamomi) as well as sometimes having minor issues with mealybugs. In general it is a hardy performer.","Pests and diseases","Adenanthos sericeus"
"305","This Western Australian species is soft to the touch and a worthy inclusion in most gardens. It should perform well for up to 10 years before it will require replacing. It may also be grown in a large tub and shaped for a Christmas tree!","Miscellaneous","Adenanthos sericeus"
"306","Woolly Bush","common name","Adenanthos sericeus"
"307","Geraldton Wax plants are fast-growing, large shrubs that, over ten years or more, can grow to a height of 4 m and a width of 4 m in the home garden. They are attractive when planted in a group, as individual specimens or used as a hedge.","Description","Chamelaucium uncinatum"
"308","This species flowers profusely in the spring months in colours ranging from white through to deep purple. Individual flowers can be as large as 25 mm across.","Flowers","Chamelaucium uncinatum"
"309","The Geraldton Wax is a proven performer in all soil types provided there is good drainage. This plant thrives in gardens close to the sea but protected from the wind. It is best planted in autumn/winter in a sunny position.","Growing conditions","Chamelaucium uncinatum"
"310","Once established, it is very hardy and in some situations needs no supplementary summer watering. Open mulch will help to conserve moisture.","Watering","Chamelaucium uncinatum"
"311","The Geraldton Wax is highly responsive to pruning. Regular tip pruning during establishment will produce a good bushy form. To maintain well-shaped flowering plants it is advisable to cut back one-third of the foliage each year after flowering.","Pruning","Chamelaucium uncinatum"
"312","Apply slow release native blend 8–9 month fertiliser at planting and annually as required in spring.","Fertiliser","Chamelaucium uncinatum"
"313","This species is susceptible to dieback (the soil borne fungus, Phytophthora cinnamomi), although this is not common.","Pests and diseases","Chamelaucium uncinatum"
"314","Geraldton Wax has been the focus of a number of plant breeding projects and it is sold worldwide as a cut flower.","Miscellaneous","Chamelaucium uncinatum"
"315","Geraldton Wax","common name","Chamelaucium uncinatum"
"316","This large shrub with olive-like leaves can grow up to 4 m by 4 m and last for 10 years or more in the home garden. Its growing habit is dense and it can be used to form a hedge or screen.","Description","Grevillea olivacea"
"317","This Grevillea species generally flowers from June through to September, although in the garden it may flower irregularly for most of the year. Flower colours include yellow, orange, red and pink and the flowers are very attractive to birds.","Flowers","Grevillea olivacea"
"318","The Olive Grevillea is a proven performer in all soil types providing there is good drainage. Naturally occurring in coastal areas, this species thrives in gardens close to the sea. It is best planted in autumn/winter in a sunny position.","Growing conditions","Grevillea olivacea"
"319","Once established this plant is very hardy and probably needs no supplementary summer watering.","Watering","Grevillea olivacea"
"320","The Olive Grevillea is highly responsive to pruning and may be hedged or trimmed to a size or shape suitable for many positions in the home garden.","Pruning","Grevillea olivacea"
"321","Apply slow release native blend 8–9 month fertiliser at planting and annually as required in spring.","Fertiliser","Grevillea olivacea"
"322","This is one of the hardiest native plants and suffers from few pests and diseases with scale being one of the few exceptions.","Pests and diseases","Grevillea olivacea"
"323","This plant is an unusual Western Australian species as its olive leaf colour is quite distinctive. It stands out within natural plant communities and has great ornamental value for home gardens.","Miscellaneous","Grevillea olivacea"
"324","Olive Grevillea","common name","Grevillea olivacea"
"325","Acacia dunnii is a spectacular wattle both in flower and foliage. It is a single- stemmed shrub or small tree that may reach a height of 4–7 m with a width of 2–4 m. A native of Australia’s Top End it occurs mostly in the Kimberley region, where it is a very popular ornamental plant for the garden, but only recently has it been grown outdoors successfully in Kings Park. Its common name refers to the huge phyllodes (leaf-like structures) that are silvery-blue in colour with several prominent, longitudinal veins. They are 20–45 cm in length and 6–16 cm in width and hang vertically. The stems usually have a whitish bloom.","Description","Acacia dunnii"
"326","Flowers may appear sporadically throughout the year but particularly summer to autumn (February to May). The globular flower heads are a rich golden yellow and are borne in long racemes at the ends of the branches. Each head is about 2 cm across and carries dozens of individual flowers.","Flowers","Acacia dunnii"
"327","Acacia dunnii can be grown in southern areas, such as Perth, from seed that is sown in October. The germinated seedlings should be potted up over the summer growing season and kept in pots for the next 12 months. During winter keep pots in a warm, sunny, sheltered position out of winter rain. Ensure the soil remains only slightly moist. When the weather starts to warm up, around October, water plants well and transplant into large feature pots or the garden. Plants require full sun in a hot exposed position and prefer yellow sand with sub-surface irrigation providing generous summer watering. Rock mulch is beneficial to keep the soil as warm as possible during winter.","Growing conditions","Acacia dunnii"
"328","Water well during the summer months—when the plant should be actively growing. Water sparingly during the cold months—probably May to November.","Watering","Acacia dunnii"
"329","It should not be necessary to prune the plant.","Pruning","Acacia dunnii"
"330","Use a 3–6 month slow-release native-plant fertiliser at the time of planting and at the beginning of summer each year.","Fertiliser","Acacia dunnii"
"331","There are none known at the moment.","Pests and diseases","Acacia dunnii"
"332","For many Acacias, in the early stages after Miscellaneous There are none known at the moment. Pests and diseases beginning of summer each year. fertiliser at the time of planting and at the Use a 3–6 month slow-release native-plant Fertiliser It should not be necessary to prune the plant. Pruning Water sparingly during the cold months—probably May to November. Water well during the summer months—when the plant should be actively growing. Watering warm as possible during winter. providing generous summer watering. Rock mulch is beneficial to keep the soil as sun in a hot exposed position and prefer yellow sand with sub-surface irrigation plants well and transplant into large feature pots or the garden. Plants require full only slightly moist. When the weather starts to warm up, around October, water in a warm, sunny, sheltered position out of winter rain. Ensure the soil remains growing season and kept in pots for the next 12 months. During winter keep pots sown in October. The germinated seedlings should be potted up over the summer Acacia dunnii can be grown in southern areas, such as Perth, from seed that is Growing conditions across and carries dozens of individual flowers. are borne in long racemes at the ends of the branches. Each head is about 2 cm autumn (February to May). The globular flower heads are a rich golden yellow and Flowers may appear sporadically throughout the year but particularly summer to Flowers and hang vertically. The stems usually have a whitish bloom. prominent, longitudinal veins. They are 20–45 cm in length and 6–16 cm in width huge phyllodes (leaf-like structures) that are silvery-blue in colour with several been grown outdoors successfully in Kings Park. Its common name refers to the where it is a very popular ornamental plant for the garden, but only recently has it","Miscellaneous","Acacia dunnii"
"333","Elephant Ear Wattle","common name","Acacia dunnii"
"334","The boab tree, Adansonia gregorii, occurs mostly in the Kimberley region of Western Australia. It is outstanding for its huge bottle- shaped trunk that is filled with soft fibrous wood, enabling it to store water. A deciduous tree, it loses its leaves in the winter months in the tropics when it is dormant. The boab can live for hundreds of years and grows slowly to a height of 5–15 m and a trunk circumference of up to 20 m. The fruits are large, brown and oval- shaped, up to 18 cm long with a woody and hairy exterior. They contain numerous seeds and a white pithy substance.","Description","Adansonia gregorii"
"335","Large, showy, cream, fragrant flowers occur usually during the summer and autumn months. They open early in the evening and are pollinated that night. Each flower lasts for only a day or two before falling.","Flowers","Adansonia gregorii"
"336","The following information provides guidance for those growing their own boab from seed in the southwest region of Western Australia or similar climate. Seed preparation Extract the small kidney-shaped seeds by cracking open the outer woody coating of the large fruit. Remove as much as practical of the pithy substance surrounding the seeds. How and when to sow seed In southern areas, such as Perth, seeds should be sown in late October–December. Using native seed-raising mix, sow in 100 mm size pots covering the seeds with a depth of the mix equivalent to a seed’s thickness. Place the pots in full sun and keep seeds moist at all times. Germination should occur within 3–4 weeks. Raising seedlings The germinated seeds will grow rapidly until about the end of March, and will require daily watering to ensure they remain moist at all times. From about early April the seedlings’ leaves will begin to yellow and fall, which is normal for these deciduous plants and a signal to stop watering. They will become dormant for a period, remaining leafless until December. During this time, keep the pots in the sunniest, warmest location, protected from winter rain, and do not water them to prevent the roots from rotting. Boab fruits, germinating seedlings and established seedlings. Photo: BGPA When the seedlings start to shoot new green buds from the dormant tips, normally in December, recommence watering and apply three-to-six month blend slow- release native fertiliser. Application of a soil-wetting agent is recommended as the soil will have become quite dry and possibly water repellent. Consider transferring the seedlings into larger pots using native potting mix. Place the pots in full sun and as the young plants begin to grow, increase watering until they are watered daily while they are in full growth. Continue the annual winter protection, potting and fertilising cycle for about 5–10 years, before planting the trees in the garden. As the pot size increases to beyond a ten-litre capacity pot, it is recommended to incorporate some additional sharp, coarse river sand into the native potting mix to further improve drainage. It is also recommended to grow the specimens to approximately one metre tall before planting them out to provide them the best opportunity to cope with the cold, wet southern winter period while they are dormant. Transplanting When planting boabs in the ground, it is best to plant in early summer, when the new buds start to appear. Plant in the hottest and sunniest location in the garden; protected from salt-laden wind. Soil should be free-draining with additional sharp, coarse river sand incorporated into it.","Growing conditions","Adansonia gregorii"
