"","Species","Description","Cultivar","Trait","data"
"65","Nerium oleander","Oleander is a wonderful easy-care, rounded shrub or small tree, with long, dark green leaves and an abundance of single or double, sometimes fragrant flowers. 'Calypso' has single, cherry red flowers and is very hardy. Often trained into an attractive small tree, multi-branched oleander also does well as a quick-growing screen or large specimen planting. Planted on five to seven foot centers, a row of oleander makes a nice screen for a large residence or other large-scale landscape.","Calypso","Leaf type","simple"
"66","Nerium oleander","Oleander is a wonderful easy-care, rounded shrub or small tree, with long, dark green leaves and an abundance of single or double, sometimes fragrant flowers. 'Hawaii' has single salmon-pink flowers with yellow throats. Often trained into an attractive small tree, multi-branched oleander also does well as a quick-growing screen or large specimen planting. Planted on five to seven foot centers, a row of oleander makes a nice screen for a large residence or other large-scale landscape.","Hawaii","Leaf type","simple"
"67","Nerium oleander","Oleander is a wonderful easy-care, rounded shrub or small tree, with long, dark green leaves and an abundance of single or double, sometimes fragrant flowers. 'Isle of Capri' has single, light yellow flowers. Often trained into an attractive small tree, multi-branched oleander also does well as a quick-growing screen or large specimen planting. Planted on five to seven foot centers, a row of oleander makes a nice screen for a large residence or other large-scale landscape.","Isle of Capri","Leaf type","simple"
"68","Nerium oleander","Oleander is a wonderful easy-care, rounded shrub or small tree, with long, dark green leaves and an abundance of single or double, sometimes fragrant flowers. 'Sister Agnes' has single pure white flowers. Often trained into an attractive small tree, multi-branched oleander also does well as a quick-growing screen or large specimen planting. Planted on five to seven foot centers, a row of oleander makes a nice screen for a large residence or other large-scale landscape.","Sister Agnes","Leaf type","simple"
"69","Nerium oleander","Oleander is a wonderful easy-care, rounded shrub or small tree, with long, dark green leaves and an abundance of single or double, sometimes fragrant flowers. 'Variegata' has lavender flowers and variegated leaves. Often trained into an attractive small tree, multi-branched oleander also does well as a quick-growing screen or large specimen planting. Planted on five to seven foot centers, a row of oleander makes a nice screen for a large residence or other large-scale landscape.","Variegata","Leaf type","simple"
"70","Fraxinus velutina","This fast-growing, deciduous, native North American tree reaches a height of 30 to 50 feet, depending upon cultural conditions.  It is capable of growing taller in its native habitat.  The three to six-inch-long leaves are divided into multiple leaflets and turn a brilliant yellow in fall before dropping.  The inconspicuous, green, springtime flowers are followed by the production of showy, persistent fruits.  The tree has been widely grown in California and in parts of the west including Texas.",NA,"Leaf type","odd-pinnately compound"
"71","Cupressus sempervirens","With its narrow columnar habit of growth, this evergreen forms tall, dark green columns 25 to 40 feet in height but are often shorter in the east. 'Glauca' has blue-green foliage and tight columnar form. Trees are normally no more than 3 feet wide. The scale-like leaves lend a very fine texture to any setting. Planted three feet apart, they make a dense screen. Italian cypress is often used for framing, as a strong accent around large buildings, or in the formal landscape but does not lend itself well to many home landscapes. It quickly grows much too tall for most residential landscapes, looking much like a green telephone pole.","Glauca","Leaf type","simple"
"72","Cupressus sempervirens","With its narrow columnar habit of growth, this evergreen forms tall, dark green columns 40 to 60 feet in height in the western United States but are often much shorter. Trees are normally no more than three feet wide. The scale-like leaves lend a very fine texture to any setting. Planted 3 feet apart, they make a dense screen. Italian cypress is often used for framing, as a strong accent around large buildings, or in the formal landscape but does not lend itself well to many home landscapes. It quickly grows much too tall for most residential landscapes, looking much like a green telephone pole.",NA,"Leaf type","simple"
"73","Calocedrus decurrens","This stately native evergreen tree slowly grows straight up in a very narrow cone or columnar shape to a height of 70- to 100-feet or more in the wild, 40- to 60-feet in landscapes, yet is only 8- to 12-feet wide at maturity. The branches<U+0097>which are densely clothed with flat, shiny, dark green, aromatic needles<U+0097>extend to the ground and remain on the tree unless shaded-out by other trees, making California incense-cedar ideal for use as a screen, hedge, or windbreak. Small, 1-inch long cones are produced at branch tips and are quite persistent, the seeds providing a welcome treat for many varieties of birds and wildlife. Although growth is slow, California Incense-Cedar trees are extremely long-lived, surviving 500 to 1000 years in the wild. Mature specimens have attractive, brick-red, flaky, furrowed bark.",NA,"Leaf type","simple"
"74","Thuja occidentalis","This slow-growing tree reaches 25 to 40 feet in height and spreads to about 10 to 12 feet wide, preferring a wet or moist, rich soil. Transplanting is moderately easy if plants are root-pruned and either balled and burlapped or potted. White cedar likes high humidity and tolerates wet soils and some drought. The foliage turns brownish in winter, especially on cultivars with colored foliage and on exposed sites open to the wind.",NA,"Leaf type","simple"
"75","Acer negundo","Boxelder forms a 40-to 50-foot-tall rounded canopy of very light green foliage. The boxelder is an undesirable tree for many urban situations and in some cities, planting it may be illegal. The undesirable characteristics are brittle, weak wood, short life, susceptibility to boxelder bug, and trunk decay. But the tree will grow just about anywhere and therefore it may have uses due to its adaptability. The best thing about the tree is that it will grow on adverse sites where more desirable trees may not. If you use the tree, plant it for its quick growth, but interplant with more desirable trees to provide for a lasting tree canopy. Boxelder is native along streambanks over a wide area of the United States, grows along flood plains, and naturalizes quickly on disturbed sites. It may be best to restrict planting to these areas. It is tolerant of drought and was planted as a shelter-belt tree.",NA,"Leaf type","odd-pinnately compound"
"76","Juniperus scopulorum","Juniperus scopulorum is a native plant that can be found in the western United States. In general, Juniperus scopulorum is a slow growing evergreen tree with a narrow, pyramidal habit that grows to a mature height of 30 to 40 feet. It is similar to other junipers in that it requires a full sun exposure and will tolerate dry and droughty soils. Juniperus scopulorum is useful as a privacy screen or specimen. This Juniper is difficult to grow in the south due to disease problems. If you try it, provide excellent drainage and keep the foliage dry.",NA,"Leaf type","simple"
"77","Alnus glutinosa","A popular tree of moist to wet soils, common alder is a moderate- to fast-growing (two feet per year) deciduous tree that usually grows to 40 to 50 feet in height with a 20- to 40-foot spread and a 12 to 18-inch trunk but is capable of reaching 80 feet in height in the woods. It is not native but has escaped from cultivation and will form pure stands or thickets in disturbed wet sites. Pyramidal when young, common alder often has multiple stems, making it ideal for use as a screen or specimen, the trees eventually becoming more rounded or oval as they mature. The two- to four-inch-wide, dark green, roundish leaves with toothed edges and pale undersides are joined in spring by rather insignificant male and female flowers. Foliage remains green well into the fall. It is the fruits that are most interesting<U+0097>small, nutlike, one-inch ""cones"" that persist throughout the fall and winter, long after the darkening leaves have fallen. These fruits, along with the attractive, dark brown, furrowed bark and multi-stemmed growth habit, make common alder an attractive landscape specimen throughout the winter. The fruits are food for a variety of wildlife.",NA,"Leaf type","simple"
"78","Alnus glutinosa","A popular tree of moist to wet soils, common alder is a moderate- to fast-growing (two feet per year) deciduous tree. This upright, columnar cultivar to 20-foot spread and a 12- to 18-inch trunk but is capable of growing taller. The species is not native but has escaped from cultivation and will form pure stands or thickets in disturbed wet sites. The two- to four-inch-wide, dark green, roundish leaves with toothed edges and pale undersides are joined in spring by rather insignificant male and female flowers. Foliage remains green well into the fall. It is the fruits that are most interesting<U+0097>small, nutlike, one-inch ""cones"" that persist throughout the fall and winter, long after the darkening leaves have fallen. These fruits, along with the attractive, dark brown, furrowed bark, make alder an attractive landscape specimen throughout the winter. The fruits are food for a variety of wildlife.","Pyramidalis","Leaf type","simple"
"79","Cornus florida","The state tree of Virginia, flowering dogwood grows 20 to 35 feet tall and spreads 25 to 30 feet. It can be trained with one central trunk or as a picturesque multi-trunked tree. The flowers consist of four bracts which subtend the small head of yellow flowers. The bracts are red and fall leaf color is red to purple. Fall color is more vivid in USDA hardiness zones 5 to 8a. Branches on the lower half of the crown grow horizontally, those in the upper half are more upright. In time, this can lend a strikingly horizontal impact to the landscape, particularly if some branches are thinned to open up the crown. Lower branches left on the trunk will droop to the ground, creating a wonderful landscape feature. The bright red fruits are often eaten by birds.","Sweetwater Red","Leaf type","simple"
"80","Cornus florida","The state tree of Virginia, flowering dogwood grows 20 to 35 feet tall and spreads 25 to 30 feet. This cultivar appears to be well adapted to USDA hardiness zones 8 and 9. It can be trained with one central trunk or as a picturesque multi-trunked tree. The flowers consist of four bracts which subtend the small head of yellow flowers. The bracts are white and larger than the species. The fall color is red to maroon. Fall color is more vivid in USDA hardiness zones 5 to 8a. The bright red fruits are often eaten by birds. Branches on the lower half of the crown grow horizontally, those in the upper half are more upright. In time, this can lend a strikingly horizontal impact to the landscape, particularly if some branches are thinned to open up the crown. Lower branches left on the trunk will droop to the ground, creating a wonderful landscape feature.","Weavers White","Leaf type","simple"
"81","Platanus orientalis","Arborvitae is an easily-recognized shrub, with its large teardrop shape and flattened branchlets held vertically.  Most young plants are seen as shrubs, but they can be pruned into a small tree by removing the lowest branches.  This forms a distinctive vase shape and is common on older landscapes where the plant was located too close to a walk or home.",NA,"Leaf type","simple"
"82","Liriodendron tulipifera","Tuliptree grows 80 to 100 feet tall and maintains a fairly narrow oval crown, even as it grows older.  Trunks become massive in old age, becoming deeply furrowed with thick bark.  The tree maintains a straight trunk and generally does not form double or multiple leaders.  Older trees have several large-diameter major limbs in the top half of the crown.  Tuliptree has a moderate to rapid (on good sites) growth rate at first but slows down with age.  The soft wood reportedly is subject to storm damage but the trees held up remarkably well in the south during hurricane `Hugo'.  It is probably stronger than given credit for.  The largest trees in the east are in the  Joyce Kilmer Forest in NC, some reaching more than 150 feet with seven-foot diameter trunks.  The fall color is gold to yellow being more pronounced in the northern part of its range.  The scented, tulip-like, greenish-yellow flowers appear in mid-spring but are not as ornamental as those of other flowering trees because they are far from view.",NA,"Leaf type","simple"
"83","Pyrus calleryana","`Redspire' Callery Pear quickly grows 35 to 45 feet high and 20 feet wide, with upright-spreading, thornless branches.  The narrow crown enable this tree to be used in tight overhead spaces.  The silhouette appears as a fat column growing wider than `Whitehouse' and `Capital' but narrower than `Bradford' and `Aristocrat'.  In spring before the new leaves unfold, the tree puts on a nice display of pure white flowers larger than `Bradford' or `Aristocrat'.  Flowering may be subdued in USDA hardiness zone 8b and it occurs at about the same time as `Bradford' Callery Pear.  The leaves emerge as red/purple, then become 1.5 to 3 inches long, glossy green with wavy margins and a red blush.  They turn yellow to orange in fall in the south putting on an attractive display before dropping.  Fall color may be subdued in the north.  The small, pea-sized, red/brown fruits which form are quite attractive to birds and other wildlife, and mummify on the tree persisting for several months to a year.  Planting two or more cultivars of Callery Pear together could increase fruit set.","Redspire","Leaf type","simple"
"84","Fraxinus excelsior","Common Ash is a broad, spreading, deciduous tree, capable of reaching 100 feet or more in height but most often seen growing at a moderate pace at 70 to 80 feet with a 60 to 90-foot spread.  The dark green, multi-divided leaves are 10 to 12 inches long and usually drop off in autumn while still green but some cultivars may turn an attractive yellow first.  The inconspicuous springtime flowers are followed by clusters of 1.5-inch-long, winged fruits which turn brown and remain on the trees well after the leaves have fallen.  The low-branched, rounded silhouette of naked branches on top of the short trunk and the black, dormant leaf buds help to make common Ash an attractive winter landscape element.",NA,"Leaf type","odd-pinnately compound"
"85","Aesculus glabra","A true North American native, Ohio buckeye forms a short trunk with a low branching structure, creating an oval to rounded canopy 40 to 50 feet wide on a tree 50 to 70 feet tall. The four- to six-inch-long, coarse, bright green, palmately compound leaves have an unpleasant odor when crushed, as do the twigs, giving this tree its other common name of ""fetid buckeye"". The fragrance should be a warning sign for this plant since all parts of it are poisonous, a factor which should be considered when placing it in the landscape. One of the first trees to shed its leaves in autumn, Ohio buckeye puts on a vivid display of bright orange and yellow fall foliage. The spring flowers are also quite showy, the erect, yellow/green, six-inch-high panicles decorating the branches. The one- to two-inch-long, showy, brown fruits ripen in late summer and may become a litter problem since they are very prickly. These fruits are quite popular with squirrels and other wildlife.",NA,"Leaf type","palmately compound"
"86","Koelreuteria paniculata","Goldenrain tree grows 30 to 40 feet tall with an equal spread, in a broad, somewhat irregular globe-shape. Some trees appear vase-shaped. Although it has a reputation for being weak wooded, it is rarely attacked by pests and grows in a wide range of soils, including high pH soils. Goldenrain tree tolerates dryness and casts little shade because of the open growth habit. It makes a good street or parking lot tree, particularly where overhead or soil space is limited, due to its adaptive abilities. The tree grows moderately and bears large panicles of bright yellow flowers in May (USDA hardiness zone 9) to July (USDA hardiness zone 6) when few other trees bloom. It is not as showy as Koelreuteria bipinnata but is much more cold-tolerant. The seed pods look like brown Chinese lanterns and are held on the tree well into the fall.",NA,"Leaf type","even-pinnately compound, odd-pinnately compound"
"87","Morus alba","This group of mulberries is fruitless, a definite plus when compared to the mess created by the abundant fruits of the common white mulberry. The plant quickly forms a dark green mass of foliage from a short trunk, or group of trunks. This gives many people reason to plant the tree. However, it is quite sensitive to ice damage, has invasive surface roots and drops leaves in summer.",NA,"Leaf type","simple"
"88","Peltophorum pterocarpum","This upright, handsome, spreading, semievergreen tree has a rounded canopy and is capable of reaching 50 feet in height with a 35 to 50-foot spread.  Form can be quite variable from tree to tree, unfortunately, eliminating this plant from the palette of many architects.  With proper training and pruning in the nursery and in the landscape, a more uniform crown will develop.  The dark green, delicate, feathery leaflets provide a softening effect for the tree's large size and create a welcoming, dappled shade.  From May through September, the entire tree's canopy is smothered with a yellow blanket of flowers, appearing in showy, terminal panicles and exuding a delicious, grape-like perfume.  These flower clusters are followed by four-inch-long seed pods which ripen to a brilliant, dark, wine-red.",NA,"Leaf type","bipinnately compound, even-pinnately compound"
"89","Pyrus calleryana","`Aristocrat' Callery Pear quickly grows 35 to 45 feet high and 30 to 35 feet wide, with widely-spaced, upright-spreading, thornless branches.  The more dominant trunk and open form of `Aristocrat' Callery Pear helps to make it less susceptible to wind and ice damage than `Bradford'.  Branch angles are wider and lateral branches grow at a slower rate than on `Bradford', therefore the branches are better attached to the trunk.  In spring before the new leaves unfold, the tree puts on a brilliant display of pure white flowers which, unfortunately, do not have a pleasant fragrance.  The leaves emerge as red/purple, then become 1.5 to 3 inches long, glossy green with wavy margins and a red blush.  They turn red again in fall before dropping.  The small, pea-sized, red/brown fruits which form are quite attractive to birds and other wildlife, and mummify on the tree persisting for several months to a year.  Planting two or more cultivars of Callery Pear together could increase fruit set.","Aristocrat","Leaf type","simple"
"90","Ginkgo biloba","Ginkgo is practically pest-free, resistant to storm damage, and casts light to moderate shade.  Young trees are often very open but they fill in to form a denser canopy.  It makes a durable street tree where there is enough overhead space to accommodate the large size.  The shape is often irregular with a large branch or two seemingly forming its own tree on the trunk.  But this does not detract from its usefulness as a city tree unless the tree will be growing in a restricted overhead space.  If this is the case, select from the narrow upright cultivars such as `Princeton Sentry' and `Fairmont'.  Ginkgo tolerates most soil, including compacted, and alkaline, and grows slowly to 75 feet or more tall.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.",NA,"Leaf type","simple"
"91","Ginkgo biloba","This male cultivar of Ginkgo is practically pest-free, resistant to storm damage, and casts dense shade.  The tree grows to at least 50 feet tall but the original tree in Fairmont Park, Philadelphia has a spread of only about 15 to 18 feet and resembles a fat, billowy column or oval.  The dense crown makes it suitable as a screen or noise buffer.  It makes a durable street tree where there is enough overhead vertical space to accommodate the large size.  It has good usefulness as a city tree especially where there is narrow overhead space.  There are other cultivars with narrow upright crowns including `Princeton Sentry' and `Fastigiata'.  Ginkgo tolerates most soil, including compacted, and alkaline.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.  Unlike the species, the tree does not set fruit.","Fairmont","Leaf type","simple"
"92","Ginkgo biloba","This male cultivar of Ginkgo is practically pest-free, resistant to storm damage, and casts dense shade.  It makes a durable street tree especially where overhead vertical space limits selection of wide trees.  The shape is a symmetrical pyramid growing about 50 feet tall and 20 to 25 feet wide, which is quite unlike the open spreading habit of the species.  There are other narrow, upright cultivars such as `Princeton Sentry' and `Fairmont'.  Ginkgo tolerates most soil, including compacted, and alkaline.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.  Unlike the species, the tree does not set fruit.","Lakeview","Leaf type","simple"
"93","Acer pseudoplatanus","This large deciduous tree is normally seen at 40 to 60 feet in height although sycamore maple is capable of reaching over 100 feet in height. The spreading branches form an oval or rounded canopy and the dark green, three-to seven-inch-diameter, lobed leaves do not ordinarily become showy in the fall, changing only to a muted yellow before dropping, but this will vary. The gray to reddish-brown, scaly bark flakes off in small scales to reveal the showy, orange, inner bark. The green, springtime flowers appear in three-to six-inch-long hanging panicles among the leaves in late spring and are followed by one-to two-inch-long, winged seeds.",NA,"Leaf type","simple"
"94","Juglans nigra","Black walnut grows with a rounded crown to about 70 feet (can reach 100 to 150 feet in the woods) and spreads 60 to 80 feet when open grown. Best growth occurs in a sunny open location and a moist rich soil, common along stream banks in its native habitat. The tree grows rapidly when young but slows down with age and develops with a number of massive branches well spaced along the trunk forming a very strong, durable tree. While valued as a lumber tree it may not make the best yard tree. The nuts are edible but are a nuisance to clean up and leaves often fall prematurely from some type of leaf disease.",NA,"Leaf type","odd-pinnately compound"
"95","Betula papyrifera","A native to northern areas that is grown for its beautiful white bark. An additional ornamental trait is the yellow fall leaf color. The tree is best adapted to wet and moist sites<U+0097>watch out for pests if grown in an unsuitable site. The tree will grow to 50 feet or more and spread about half that amount. Paper birch has excellent cold tolerance and will grow in USDA hardiness zone 2. It is rarely successful in zones warmer than USDA hardiness zone six. In landscapes it may be grown as a single-stemmed tree or in a multi-stemmed clump.",NA,"Leaf type","simple"
"96","Fagus sylvatica","Weeping Purple European Beech is more of a shrub than a tree, growing to about 10 feet tall.  Branches normally sweep up and away from the center of the tree forming a mound of foliage.  It is usually not trained to a central leader but could be trained this way to create a `standard' type tree.  The tree grows slowly, recovers slowly from transplanting and prefers a sunny location and a moist, light soil.  Though not a street tree, the tree makes a fine specimen for small landscapes.  It is somewhat tolerant of heat and dry soil, but it is best to locate it where it would receive adequate moisture.","Purpurea Pendula","Leaf type","simple"
"97","Grevillea robusta","Reaching a height of 75 feet or more with a 25-foot spread, silk oak is pyramidal to oval in shape, eventually developing a few heavy horizontal limbs and a thick trunk. The light, ferny, grey-green leaves, silvery beneath, are accented by large clusters of bright yellow-orange flowers in spring. A great quantity of leaves fall in the spring immediately preceding the emergence of new growth, and leaves also fall sporadically throughout the year, creating quite a litter problem to some people. Black, leathery seed capsules follow the flowers.",NA,"Leaf type","odd-pinnately compound"
"98","Fagus sylvatica","Weeping European Beech grows into a wide, weeping mass of green foliage, 30 to 50 feet tall and spreads 30 to 50 feet.  Branches normally grow up, sag to the horizontal, then sweep toward the ground in a graceful fashion.  Young trees are often trained with a central leader for 10 feet or more into the crown, then the tree is allowed to weep to the ground.  This can produce a tree wider than tall, or if side branches are removed, one that is tall and narrow.  It grows slowly but is worth the wait.  Leaves show a lustrous dark green color throughout the summer and form a very dense canopy.  Some specimens have a narrow crown, others grow as wide as they are tall so allow plenty of room for growth.  Not a tree for residential or other small landscapes.  The branches are thin but not as flexible as those of weeping willow.",NA,"Leaf type","simple"
"99","Cedrus atlantica","A handsome evergreen with blue, bluish-green or light green foliage, 'Glauca' atlas cedar is perfect for specimen planting where it can grow without being crowded since the tree looks its best when branches are left on the tree to the ground. This shows off the wonderful irregular, open pyramidal form with lower branches spreading about half the height. It grows rapidly when young, then slowly, reaching 40 to 60 feet tall by 30 to 40 feet wide. The trunk stays fairly straight with lateral branches nearly horizontal. Allow plenty of room for these trees to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. It looks odd if lower branches are removed. Older trees become flat-topped and are a beautiful sight to behold.",NA,"Leaf type","simple"
"100","Cedrus atlantica","This silver-blue foliaged cultivar is a handsome evergreen for specimen planting where it will not be crowded since the tree looks its best when branches are left on the tree to the ground. This shows off the wonderful pyramidal form with lower branches spreading about half the height. It reaches 40 to 60 or more feet tall and 30 to 40 feet wide. The trunk stays fairly straight with lateral branches nearly horizontal. Allow plenty of room for these to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. The trees are much too large for most residential properties. It looks odd if lower branches are removed. Older trees become flat-topped and are a beautiful sight to behold.",NA,"Leaf type","simple"
"101","Cedrus atlantica","A handsome evergreen for specimen planting where it will not be crowded since the tree looks its best when branches are left on the tree to the ground. This shows off the wonderful weeping form with lower branches spreading about half the height. Spread, height and tree form is somewhat dependant on how the tree was trained. It can probably reach 30 to 40 feet tall if it was staked. Allow plenty of room for branches to spread. The tree is best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. It looks odd if lower branches are removed. Older trees become flat-topped and are a beautiful sight to behold.",NA,"Leaf type","simple"
"102","Amelanchier canadensis","Downy serviceberry is an upright, twiggy, multi-stemmed large shrub, eventually reaching 20 to 25 feet in height with a spread of 15 to 20 feet. This North American native is usually the first to be noticed in the forest or garden at springtime, the pure white, glistening flowers some of the earliest to appear among the many other dull brown, leafless, and still-slumbering trees. The small white flowers are produced in dense, erect, two- to three-inch-long racemes, opening up to a delicate display before the attractive reddish-purple buds unfold into small, rounded leaves. These leaves are covered with a fine, soft grey fuzz when young, giving the plant its common name, but will mature into smooth, dark green leaves later. Following the blooms are many small, luscious, dark red/purple, sweet and juicy, apple-shaped fruits, often well hidden by the dark green leaves, and which would be popular with people were they not so quickly consumed by birds and other wildlife who seem to find their flavor irresistible.",NA,"Leaf type","simple"
"103","Acer palmatum","Japanese maple has a height and spread of about 20 feet, but there are much smaller selections available. The multiple trunks are muscular-looking, picturesque, grey, and show nicely when lit up at night. Japanese maple is grown for its green or red colored leaves, interesting growth habit and fine leaf texture. Fall color ranges from bright yellow through orange and red, and is often striking, even on trees grown in total shade. Growth habit varies widely depending on cultivar from globose, branching to the ground to upright, vase-shaped. The globose selections look best when they are allowed to branch to the ground. Be sure to clear all turf away from beneath the branches of these low growing types so the lawn mower will not damage the tree. The more upright selections make nice patio or small shade trees for residential lots, and, with pruning to remove drooping branches, provide adequate clearance for pedestrian traffic to pass close to the tree. More compact cultivars make wonderful accents for any landscape.",NA,"Leaf type","simple"
"104","Carpinus betulus","The species is not normally grown, but it reaches 60 feet tall and spreads 40 feet, preferring well-drained soil. Cultivars are more common than the species. The cultivar 'Fastigiata' is most often offered by nurseries and is a popular street tree. The species tolerates a pH above 7.0. The plant grows slowly, is shallow rooted, and can branch low to the ground. The crown is finely branched, densely foliated, and forms a beautiful oval or vase in the landscape. European hornbeam has yellow fall color and enough pruning tolerance to be a hedge, tall screen, or topiary. It was and is the plant of choice for clipped screens and hedges in English and early American gardens.",NA,"Leaf type","simple"
"105","Oxydendrum arboreum","Sourwood usually grows as a pyramid or narrow oval with a more or less straight trunk at a height of 25 to 35 feet but can reach 50 to 60 feet tall with a spread of 25 to 30 feet.  Occasionally young specimens have a more open spreading habit reminiscent of Redbud.  Leaves are dark, lustrous green and appear to weep or hang from the twigs.  Branches droop toward the ground forming a graceful outline when planted as a single specimen.  The branching pattern and persistent fruit make the tree interesting in the winter.  The mid- to late-summer flowers are borne in terminal clusters of racemes which curve upward, creating a graceful effect at flowering time.  The fall color is a striking red and orange which is rivaled by only a few other trees such as Blackgum, Chinese Pistache, the pears, and Chinese Tallowtree.  There are few sights that are as striking as a row of Sourwood in fall color.",NA,"Leaf type","simple"
"106","Aralia spinosa","Anyone who has accidentally brushed against a devil's-walkingstick does not soon forget the experience, for this tall, spindly native shrub or small tree is armed up and down its thin trunk with extremely sharp, treacherous spines. Even the huge, much-divided leaves, which can reach four feet long and three feet wide, are armed with pointed prickles, ready to scratch anyone who comes within range. But when placed in an area where they can do no harm, devil's-walkingsticks add a tropical effect to a mixed shrubbery border or other naturalized setting, where the large leaves can easily spread out to their full length atop the slender, 10- to 15-foot-tall trunks. Under ideal conditions, these small trees can even reach 25 to 30 feet tall.",NA,"Leaf type","bipinnately compound, odd-pinnately compound"
"107","Betula populifolia","A small, North American native tree, gray birch reaches 20- to 30-feet in height with a 10- to 20-foot spread, often forming loose, open thickets in the wild but easily trained to a single, slender trunk with an irregular, upright, pyramidal silhouette. The glossy, dark green leaves on reddish-brown twigs are triangular-shaped, 2.5- to 3.5-inches long, and turn a lovely yellow color in autumn before dropping. Both male and female catkins, or blooms, appear on the same tree, eventually producing a small cylindrical cone, with the male catkins persisting on the trees well into the winter. For the first four or five years, the bark of gray birch is dark brown but later takes on a smooth, chalky-white appearance but does not peel as readily as the bark of white birches.",NA,"Leaf type","simple"
"108","Chamaecyparis lawsoniana","Often seen at 40 to 60 feet tall by 15 feet wide in its cultivated form, this North American native can soar to heights of 100 to 150 feet in the wild. The massive, thick trunk and formal, upright, conical silhouette is softened by the gently weeping tips of the short, upright branches. The flattened, dark blue-green branchlets have a delicate, almost fern-like appearance, and are nicely complemented by the rough, deeply furrowed, reddish-brown bark. Available in a wide variety of forms and bluish foliage colors, Lawson falsecypress still remains today an important timber trees from the Pacific Northwest. But it is rare in the nursery trade and probably not well adapted to most landscapes.",NA,"Leaf type","simple"
"109","Acer platanoides","'Crimson King' Norway maple grows to a height of 35 to 45 feet spreading about 25 to 30 feet and is quite popular for its purple-green foliage throughout the summer. Leaves turn brown, dark maroon or bronze in the fall before dropping. The oval to rounded crown fills with maroon-yellow flowers in the spring. 'Crimson King' Norway maple's dense shade and shallow root system compete with lawn grasses, and the shallow roots can make mowing under the tree difficult.","Crimson King","Leaf type","simple"
"110","Acer platanoides","This cultivar of Norway maple has a height of about 50 to 60 feet, but only spreads to about 15 or 20 feet. The upright crown fills with greenish-yellow flowers in the spring. Lateral branches are short and grow almost horizontally, which is quite unusual for a columnar tree. Some suggest growing the tree with only one central trunk to avoid multiple-trunk crotches from splitting apart. Norway maple's shallow root system competes with lawn grasses, and the shallow roots can make mowing under the tree difficult. The shallow roots can heave sidewalks so be certain to locate the tree at least four to six feet away. The tree is easily transplanted, grows quickly, is adapted to a wide variety of soils (including alkaline), and has brilliant yellow fall color unmatched by most trees. It can also tolerate coastal conditions. The narrow crown makes this tree well suited to street tree plantings where vertical space is limited.","Columnare","Leaf type","simple"
"111","Cedrus deodara","With its pyramidal shape, soft grayish-green (or blue) needles and drooping branches, this cedar makes a graceful specimen or accent tree. Growing rapidly to 40 to 50 feet tall and 20 to 30 feet wide, it also works well as a soft screen. The trunk stays fairly straight with lateral branches nearly horizontal and drooping. Lower branches should be left on the tree so the true form of the tree can show. Allow plenty of room for these to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. Large specimens have trunks almost three feet in diameter and spread to 50 feet across.",NA,"Leaf type","simple"
"112","Cedrus deodara","With its pyramidal shape, soft silver-blue needles and drooping branches, this cedar makes a graceful specimen or accent tree. It has better cold hardiness than the species. Growing rapidly to 40 to 50 feet tall and 20 to 30 feet wide, it also works well as a soft screen. The trunk stays fairly straight with lateral branches nearly horizontal and drooping. Lower branches should be left on the tree so the true form of the tree can show. Allow plenty of room for these to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. Large specimens have trunks almost three feet in diameter.","Kashmir","Leaf type","simple"
"113","Magnolia acuminata","One of the fastest-growing Magnolias, Cucumbertree is pyramidal when young but becomes broad, oval or rounded with age, ultimately reaching 60 to 80 feet in height with a spread of 35 to 60 feet.  Branches on open-grown trees eventually touch the ground if left unpruned, but when lower branches are removed the higher branches normally will not droop to touch the ground.  This provides good clearance beneath the tree for pedestrian traffic.  Older trees have a stately silhouette, particularly in the winter with branches bare, sporting a number of large-diameter branches growing from a dominant central trunk.  The trunk can grow to be five feet thick and the wood has been used, along with Tuliptree ( Liriodendron tulipifera ), for ""poorman's walnut.""",NA,"Leaf type","simple"
"114","Robinia pseudoacacia","A fast-growing deciduous tree, umbrella black locust grows to about 20 feet tall and wide. The weeping, round habit forms a canopy much denser than the species casting dense shade below the tree. The 6- to 14-inch-long, dark green leaves, made up of multiple leaflets, are some of the last to appear in spring and often drop early in the autumn. Flowers irregularly with only a flower 'here and there' in the crown. The 2- to 4-inch-long, dark red to black, leathery seeds pods which sometimes follow will persist on the trees throughout the winter.",NA,"Leaf type","odd-pinnately compound"
